1,0.684,Chisinau,Moldova,47.42N,29.61E
1985-07-01,19.725,0.155,Chisinau,Moldova,47.42N,29.61E
1985-08-01,21.515,0.217,Chisinau,Moldova,47.42N,29.61E
1985-09-01,14.531,0.198,Chisinau,Moldova,47.42N,29.61E
1985-10-01,8.468,0.139,Chisinau,Moldova,47.42N,29.61E
1985-11-01,1.6800000000000002,0.255,Chisinau,Moldova,47.42N,29.61E
1985-12-01,0.027999999999999917,0.424,Chisinau,Moldova,47.42N,29.61E
1986-01-01,-1.2719999999999998,0.335,Chisinau,Moldova,47.42N,29.61E
1986-02-01,-6.2780000000000005,0.337,Chisinau,Moldova,47.42N,29.61E
1986-03-01,2.151,0.209,Chisinau,Moldova,47.42N,29.61E
1986-04-01,11.17,0.275,Chisinau,Moldova,47.42N,29.61E
1986-05-01,16.558999999999994,0.23,Chisinau,Moldova,47.42N,29.61E
1986-06-01,20.021,0.231,Chisinau,Moldova,47.42N,29.61E
1986-07-01,20.402,0.23199999999999998,Chisinau,Moldova,47.42N,29.61E
1986-08-01,21.962,0.207,Chisinau,Moldova,47.42N,29.61E
1986-09-01,16.662,0.321,Chisinau,Moldova,47.42N,29.61E
1986-10-01,8.56,0.18600000000000003,Chisinau,Moldova,47.42N,29.61E
1986-11-01,2.46,0.32299999999999995,Chisinau,Moldova,47.42N,29.61E
1986-12-01,-3.0580000000000003,0.35200000000000004,Chisinau,Moldova,47.42N,29.61E
1987-01-01,-9.863999999999999,0.365,Chisinau,Moldova,47.42N,29.61E
1987-02-01,-3.135,0.231,Chisinau,Moldova,47.42N,29.61E
1987-03-01,-4.033,0.135,Chisinau,Moldova,47.42N,29.61E
1987-04-01,6.381,0.344,Chisinau,Moldova,47.42N,29.61E
1987-05-01,14.388,0.386,Chisinau,Moldova,47.42N,29.61E
1987-06-01,19.684,0.531,Chisinau,Moldova,47.42N,29.61E
1987-07-01,22.854,0.539,Chisinau,Moldova,47.42N,29.61E
1987-08-01,18.395,0.426,Chisinau,Moldova,47.42N,29.61E
1987-09-01,16.125,0.405,Chisinau,Moldova,47.42N,29.61E
1987-10-01,8.355,0.253,Chisinau,Moldova,47.42N,29.61E
1987-11-01,4.446000000000001,0.20600000000000002,Chisinau,Moldova,47.42N,29.61E
1987-12-01,-1.834,0.19899999999999998,Chisinau,Moldova,47.42N,29.61E
1988-01-01,-2.8930000000000002,0.42200000000000004,Chisinau,Moldova,47.42N,29.61E
1988-02-01,-1.7440000000000002,0.292,Chisinau,Moldova,47.42N,29.61E
1988-03-01,3.137,0.136,Chisinau,Moldova,47.42N,29.61E
1988-04-01,8.422,0.3,Chisinau,Moldova,47.42N,29.61E
1988-05-01,15.495,0.225,Chisinau,Moldova,47.42N,29.61E
1988-06-01,18.732,0.27399999999999997,Chisinau,Moldova,47.42N,29.61E
1988-07-01,22.724,0.15,Chisinau,Moldova,47.42N,29.61E
1988-08-01,20.936999999999998,0.138,Chisinau,Moldova,47.42N,29.61E
1988-09-01,15.587,0.252,Chisinau,Moldova,47.42N,29.61E
1988-10-01,8.001,0.32899999999999996,Chisinau,Moldova,47.42N,29.61E
1988-11-01,-1.27,0.16699999999999998,Chisinau,Moldova,47.42N,29.61E
1988-12-01,-1.73,0.275,Chisinau,Moldova,47.42N,29.61E
1989-01-01,0.2840000000000007,0.293,Chisinau,Moldova,47.42N,29.61E
1989-02-01,2.818,0.36,Chisinau,Moldova,47.42N,29.61E
1989-03-01,6.365,0.355,Chisinau,Moldova,47.42N,29.61E
1989-04-01,11.842,0.33399999999999996,Chisinau,Moldova,47.42N,29.61E
1989-05-01,15.237,0.13699999999999998,Chisinau,Moldova,47.42N,29.61E
1989-06-01,18.742,0.33899999999999997,Chisinau,Moldova,47.42N,29.61E
1989-07-01,20.523000000000003,0.214,Chisinau,Moldova,47.42N,29.61E
1989-08-01,21.59,0.27,Chisinau,Moldova,47.42N,29.61E
1989-09-01,15.46,0.24100000000000002,Chisinau,Moldova,47.42N,29.61E
1989-10-01,10.502,0.299,Chisinau,Moldova,47.42N,29.61E
1989-11-01,2.0540000000000003,0.223,Chisinau,Moldova,47.42N,29.61E
1989-12-01,0.7579999999999999,0.136,Chisinau,Moldova,47.42N,29.61E
1990-01-01,-0.24399999999999974,0.27,Chisinau,Moldova,47.42N,29.61E
1990-02-01,3.37,0.16399999999999998,Chisinau,Moldova,47.42N,29.61E
1990-03-01,8.133,0.319,Chisinau,Moldova,47.42N,29.61E
1990-04-01,10.112,0.126,Chisinau,Moldova,47.42N,29.61E
1990-05-01,15.246,0.23600000000000002,Chisinau,Moldova,47.42N,29.61E
1990-06-01,18.637999999999998,0.41700000000000004,Chisinau,Moldova,47.42N,29.61E
1990-07-01,20.916,0.26,Chisinau,Moldova,47.42N,29.61E
1990-08-01,20.607,0.384,Chisinau,Moldova,47.42N,29.61E
1990-09-01,15.015999999999998,0.23800000000000002,Chisinau,Moldova,47.42N,29.61E
1990-10-01,9.966000000000001,0.435,Chisinau,Moldova,47.42N,29.61E
1990-11-01,6.978,0.301,Chisinau,Moldova,47.42N,29.61E
1990-12-01,-0.365,0.204,Chisinau,Moldova,47.42N,29.61E
1991-01-01,-1.1379999999999997,0.16699999999999998,Chisinau,Moldova,47.42N,29.61E
1991-02-01,-4.045,0.261,Chisinau,Moldova,47.42N,29.61E
1991-03-01,2.456,0.35200000000000004,Chisinau,Moldova,47.42N,29.61E
1991-04-01,9.378,0.3,Chisinau,Moldova,47.42N,29.61E
1991-05-01,13.533,0.242,Chisinau,Moldova,47.42N,29.61E
1991-06-01,19.495,0.15,Chisinau,Moldova,47.42N,29.61E
1991-07-01,22.296999999999997,0.23,Chisinau,Moldova,47.42N,29.61E
1991-08-01,20.184,0.151,Chisinau,Moldova,47.42N,29.61E
1991-09-01,16.000999999999998,0.262,Chisinau,Moldova,47.42N,29.61E
1991-10-01,10.689,0.29600000000000004,Chisinau,Moldova,47.42N,29.61E
1991-11-01,3.891,0.152,Chisinau,Moldova,47.42N,29.61E
1991-12-01,-2.6180000000000003,0.244,Chisinau,Moldova,47.42N,29.61E
1992-01-01,-2.0380000000000003,0.326,Chisinau,Moldova,47.42N,29.61E
1992-02-01,-1.435,0.253,Chisinau,Moldova,47.42N,29.61E
1992-03-01,4.538,0.207,Chisinau,Moldova,47.42N,29.61E
1992-04-01,8.804,0.446,Chisinau,Moldova,47.42N,29.61E
1992-05-01,14.207,0.257,Chisinau,Moldova,47.42N,29.61E
1992-06-01,19.027,0.379,Chisinau,Moldova,47.42N,29.61E
1992-07-01,21.48,0.172,Chisinau,Moldova,47.42N,29.61E
1992-08-01,24.37,0.293,Chisinau,Moldova,47.42N,29.61E
1992-09-01,15.02,0.322,Chisinau,Moldova,47.42N,29.61E
1992-10-01,9.686,0.28800000000000003,Chisinau,Moldova,47.42N,29.61E
1992-11-01,4.117,0.309,Chisinau,Moldova,47.42N,29.61E
1992-12-01,-2.9130000000000003,0.379,Chisinau,Moldova,47.42N,29.61E
1993-01-01,-1.1289999999999996,0.20199999999999999,Chisinau,Moldova,47.42N,29.61E
1993-02-01,-1.7080000000000002,0.258,Chisinau,Moldova,47.42N,29.61E
1993-03-01,1.633,0.379,Chisinau,Moldova,47.42N,29.61E
1993-04-01,8.516,0.23600000000000002,Chisinau,Moldova,47.42N,29.61E
1993-05-01,16.477,0.358,Chisinau,Moldova,47.42N,29.61E
1993-06-01,18.436,0.324,Chisinau,Moldova,47.42N,29.61E
1993-07-01,19.555,0.315,Chisinau,Moldova,47.42N,29.61E
1993-08-01,19.952,0.364,Chisinau,Moldova,47.42N,29.61E
1993-09-01,14.445,0.14800000000000002,Chisinau,Moldova,47.42N,29.61E
1993-10-01,10.312999999999999,0.297,Chisinau,Moldova,47.42N,29.61E
1993-11-01,-3.4230000000000005,0.298,Chisinau,Moldova,47.42N,29.61E
1993-12-01,1.053,0.284,Chisinau,Moldova,47.42N,29.61E
1994-01-01,1.1790000000000005,0.42200000000000004,Chisinau,Moldova,47.42N,29.61E
1994-02-01,-2.3280000000000003,0.22399999999999998,Chisinau,Moldova,47.42N,29.61E
1994-03-01,4.255,0.23,Chisinau,Moldova,47.42N,29.61E
1994-04-01,11.682,0.235,Chisinau,Moldova,47.42N,29.61E
1994-05-01,15.89,0.37,Chisinau,Moldova,47.42N,29.61E
1994-06-01,18.241,0.41700000000000004,Chisinau,Moldova,47.42N,29.61E
1994-07-01,22.994,0.514,Chisinau,Moldova,47.42N,29.61E
1994-08-01,21.355,0.252,Chisinau,Moldova,47.42N,29.61E
1994-09-01,19.958,0.24100000000000002,Chisinau,Moldova,47.42N,29.61E
1994-10-01,10.121,0.23,Chisinau,Moldova,47.42N,29.61E
1994-11-01,2.793,0.293,Chisinau,Moldova,47.42N,29.61E
1994-12-01,-1.4469999999999998,0.332,Chisinau,Moldova,47.42N,29.61E
1995-01-01,-3.188,0.273,Chisinau,Moldova,47.42N,29.61E
1995-02-01,3.128,0.16399999999999998,Chisinau,Moldova,47.42N,29.61E
1995-03-01,4.292,0.146,Chisinau,Moldova,47.42N,29.61E
1995-04-01,9.389,0.282,Chisinau,Moldova,47.42N,29.61E
1995-05-01,14.424000000000001,0.25,Chisinau,Moldova,47.42N,29.61E
1995-06-01,20.625999999999998,0.253,Chisinau,Moldova,47.42N,29.61E
1995-07-01,22.478,0.294,Chisinau,Moldova,47.42N,29.61E
1995-08-01,20.811,0.203,Chisinau,Moldova,47.42N,29.61E
1995-09-01,15.364999999999998,0.155,Chisinau,Moldova,47.42N,29.61E
1995-10-01,9.73,0.201,Chisinau,Moldova,47.42N,29.61E
1995-11-01,0.468,0.22699999999999998,Chisinau,Moldova,47.42N,29.61E
1995-12-01,-4.519,0.237,Chisinau,Moldova,47.42N,29.61E
1996-01-01,-7.580999999999999,0.45,Chisinau,Moldova,47.42N,29.61E
1996-02-01,-5.598000000000001,0.38299999999999995,Chisinau,Moldova,47.42N,29.61E
1996-03-01,-1.988,0.359,Chisinau,Moldova,47.42N,29.61E
1996-04-01,9.052,0.302,Chisinau,Moldova,47.42N,29.61E
1996-05-01,18.606,0.258,Chisinau,Moldova,47.42N,29.61E
1996-06-01,20.144000000000002,0.265,Chisinau,Moldova,47.42N,29.61E
1996-07-01,21.168000000000003,0.228,Chisinau,Moldova,47.42N,29.61E
1996-08-01,20.491,0.146,Chisinau,Moldova,47.42N,29.61E
1996-09-01,12.576,0.27399999999999997,Chisinau,Moldova,47.42N,29.61E
1996-10-01,9.783,0.22699999999999998,Chisinau,Moldova,47.42N,29.61E
1996-11-01,7.975,0.247,Chisinau,Moldova,47.42N,29.61E
1996-12-01,-2.602,0.375,Chisinau,Moldova,47.42N,29.61E
1997-01-01,-5.444,0.28300000000000003,Chisinau,Moldova,47.42N,29.61E
1997-02-01,-0.802,0.11900000000000001,Chisinau,Moldova,47.42N,29.61E
1997-03-01,2.9810000000000003,0.319,Chisinau,Moldova,47.42N,29.61E
1997-04-01,6.6979999999999995,0.14300000000000002,Chisinau,Moldova,47.42N,29.61E
1997-05-01,16.628,0.287,Chisinau,Moldova,47.42N,29.61E
1997-06-01,19.445999999999998,0.23,Chisinau,Moldova,47.42N,29.61E
1997-07-01,20.417,0.313,Chisinau,Moldova,47.42N,29.61E
1997-08-01,19.438,0.24100000000000002,Chisinau,Moldova,47.42N,29.61E
1997-09-01,12.979000000000001,0.275,Chisinau,Moldova,47.42N,29.61E
1997-10-01,7.693,0.327,Chisinau,Moldova,47.42N,29.61E
1997-11-01,4.342,0.17300000000000001,Chisinau,Moldova,47.42N,29.61E
1997-12-01,-1.7830000000000001,0.358,Chisinau,Moldova,47.42N,29.61E
1998-01-01,-0.6979999999999995,0.301,Chisinau,Moldova,47.42N,29.61E
1998-02-01,1.3119999999999998,0.188,Chisinau,Moldova,47.42N,29.61E
1998-03-01,2.0909999999999997,0.209,Chisinau,Moldova,47.42N,29.61E
1998-04-01,12.234000000000002,0.342,Chisinau,Moldova,47.42N,29.61E
1998-05-01,15.124,0.179,Chisinau,Moldova,47.42N,29.61E
1998-06-01,20.697,0.207,Chisinau,Moldova,47.42N,29.61E
1998-07-01,21.635,0.23,Chisinau,Moldova,47.42N,29.61E
1998-08-01,20.381,0.302,Chisinau,Moldova,47.42N,29.61E
1998-09-01,15.811,0.205,Chisinau,Moldova,47.42N,29.61E
1998-10-01,9.996,0.16399999999999998,Chisinau,Moldova,47.42N,29.61E
1998-11-01,0.19499999999999984,0.42,Chisinau,Moldova,47.42N,29.61E
1998-12-01,-5.175,0.424,Chisinau,Moldova,47.42N,29.61E
1999-01-01,-1.2039999999999995,0.885,Chisinau,Moldova,47.42N,29.61E
1999-02-01,-0.016000000000000014,0.45,Chisinau,Moldova,47.42N,29.61E
1999-03-01,4.601,0.195,Chisinau,Moldova,47.42N,29.61E
1999-04-01,11.215,0.348,Chisinau,Moldova,47.42N,29.61E
1999-05-01,13.996,0.306,Chisinau,Moldova,47.42N,29.61E
1999-06-01,22.179000000000002,0.165,Chisinau,Moldova,47.42N,29.61E
1999-07-01,23.983,0.23600000000000002,Chisinau,Moldova,47.42N,29.61E
1999-08-01,21.988000000000003,0.588,Chisinau,Moldova,47.42N,29.61E
1999-09-01,17.239,0.209,Chisinau,Moldova,47.42N,29.61E
1999-10-01,9.758,0.27699999999999997,Chisinau,Moldova,47.42N,29.61E
1999-11-01,2.023,0.373,Chisinau,Moldova,47.42N,29.61E
1999-12-01,0.925,0.375,Chisinau,Moldova,47.42N,29.61E
2000-01-01,-4.143,0.254,Chisinau,Moldova,47.42N,29.61E
2000-02-01,0.6229999999999998,0.146,Chisinau,Moldova,47.42N,29.61E
2000-03-01,3.741,0.272,Chisinau,Moldova,47.42N,29.61E
2000-04-01,12.832,0.322,Chisinau,Moldova,47.42N,29.61E
2000-05-01,16.49,0.43200000000000005,Chisinau,Moldova,47.42N,29.61E
2000-06-01,19.342,0.43700000000000006,Chisinau,Moldova,47.42N,29.61E
2000-07-01,21.197,0.256,Chisinau,Moldova,47.42N,29.61E
2000-08-01,22.212,0.28600000000000003,Chisinau,Moldova,47.42N,29.61E
2000-09-01,14.582,0.185,Chisinau,Moldova,47.42N,29.61E
2000-10-01,10.124,0.22699999999999998,Chisinau,Moldova,47.42N,29.61E
2000-11-01,7.337000000000001,0.172,Chisinau,Moldova,47.42N,29.61E
2000-12-01,1.6350000000000002,0.436,Chisinau,Moldova,47.42N,29.61E
2001-01-01,-0.19999999999999973,0.47600000000000003,Chisinau,Moldova,47.42N,29.61E
2001-02-01,-0.3959999999999999,0.215,Chisinau,Moldova,47.42N,29.61E
2001-03-01,5.311,0.223,Chisinau,Moldova,47.42N,29.61E
2001-04-01,10.835,0.10800000000000001,Chisinau,Moldova,47.42N,29.61E
2001-05-01,14.684000000000001,0.278,Chisinau,Moldova,47.42N,29.61E
2001-06-01,17.749000000000002,0.299,Chisinau,Moldova,47.42N,29.61E
2001-07-01,24.588,0.21899999999999997,Chisinau,Moldova,47.42N,29.61E
2001-08-01,22.892,0.401,Chisinau,Moldova,47.42N,29.61E
2001-09-01,16.09,0.12300000000000001,Chisinau,Moldova,47.42N,29.61E
2001-10-01,11.104000000000001,0.36700000000000005,Chisinau,Moldova,47.42N,29.61E
2001-11-01,3.089,0.235,Chisinau,Moldova,47.42N,29.61E
2001-12-01,-6.289,0.265,Chisinau,Moldova,47.42N,29.61E
2002-01-01,-2.652,0.195,Chisinau,Moldova,47.42N,29.61E
2002-02-01,4.0950000000000015,0.267,Chisinau,Moldova,47.42N,29.61E
2002-03-01,6.635,0.29,Chisinau,Moldova,47.42N,29.61E
2002-04-01,9.829,0.215,Chisinau,Moldova,47.42N,29.61E
2002-05-01,17.211,0.41100000000000003,Chisinau,Moldova,47.42N,29.61E
2002-06-01,19.704,0.222,Chisinau,Moldova,47.42N,29.61E
2002-07-01,24.608,0.23,Chisinau,Moldova,47.42N,29.61E
2002-08-01,21.173,0.266,Chisinau,Moldova,47.42N,29.61E
2002-09-01,16.458,0.239,Chisinau,Moldova,47.42N,29.61E
2002-10-01,9.293,0.268,Chisinau,Moldova,47.42N,29.61E
2002-11-01,5.872999999999999,0.28,Chisinau,Moldova,47.42N,29.61E
2002-12-01,-7.107,0.355,Chisinau,Moldova,47.42N,29.61E
2003-01-01,-3.6510000000000002,0.19399999999999998,Chisinau,Moldova,47.42N,29.61E
2003-02-01,-6.4510000000000005,0.298,Chisinau,Moldova,47.42N,29.61E
2003-03-01,0.494,0.318,Chisinau,Moldova,47.42N,29.61E
2003-04-01,8.094000000000001,0.35200000000000004,Chisinau,Moldova,47.42N,29.61E
2003-05-01,20.011,0.22699999999999998,Chisinau,Moldova,47.42N,29.61E
2003-06-01,20.195999999999998,0.308,Chisinau,Moldova,47.42N,29.61E
2003-07-01,21.421,0.264,Chisinau,Moldova,47.42N,29.61E
2003-08-01,21.995,0.44,Chisinau,Moldova,47.42N,29.61E
2003-09-01,15.505999999999998,0.273,Chisinau,Moldova,47.42N,29.61E
2003-10-01,8.878,0.251,Chisinau,Moldova,47.42N,29.61E
2003-11-01,5.07,0.226,Chisinau,Moldova,47.42N,29.61E
2003-12-01,-0.111,0.295,Chisinau,Moldova,47.42N,29.61E
2004-01-01,-3.977,0.239,Chisinau,Moldova,47.42N,29.61E
2004-02-01,-1.2950000000000002,0.152,Chisinau,Moldova,47.42N,29.61E
2004-03-01,5.1370000000000005,0.255,Chisinau,Moldova,47.42N,29.61E
2004-04-01,10.1,0.198,Chisinau,Moldova,47.42N,29.61E
2004-05-01,14.445,0.289,Chisinau,Moldova,47.42N,29.61E
2004-06-01,18.576,0.305,Chisinau,Moldova,47.42N,29.61E
2004-07-01,21.231,0.294,Chisinau,Moldova,47.42N,29.61E
2004-08-01,20.614,0.289,Chisinau,Moldova,47.42N,29.61E
2004-09-01,15.743,0.282,Chisinau,Moldova,47.42N,29.61E
2004-10-01,10.812000000000001,0.38299999999999995,Chisinau,Moldova,47.42N,29.61E
2004-11-01,4.811,0.26,Chisinau,Moldova,47.42N,29.61E
2004-12-01,1.295,0.21899999999999997,Chisinau,Moldova,47.42N,29.61E
2005-01-01,0.3520000000000003,0.39299999999999996,Chisinau,Moldova,47.42N,29.61E
2005-02-01,-3.471,0.408,Chisinau,Moldova,47.42N,29.61E
2005-03-01,1.168,0.23199999999999998,Chisinau,Moldova,47.42N,29.61E
2005-04-01,10.113999999999999,0.133,Chisinau,Moldova,47.42N,29.61E
2005-05-01,16.607,0.217,Chisinau,Moldova,47.42N,29.61E
2005-06-01,18.311,0.304,Chisinau,Moldova,47.42N,29.61E
2005-07-01,21.993000000000002,0.336,Chisinau,Moldova,47.42N,29.61E
2005-08-01,21.44,0.146,Chisinau,Moldova,47.42N,29.61E
2005-09-01,17.53,0.213,Chisinau,Moldova,47.42N,29.61E
2005-10-01,10.054,0.33399999999999996,Chisinau,Moldova,47.42N,29.61E
2005-11-01,3.741,0.281,Chisinau,Moldova,47.42N,29.61E
2005-12-01,0.5650000000000001,0.585,Chisinau,Moldova,47.42N,29.61E
2006-01-01,-7.337000000000001,0.535,Chisinau,Moldova,47.42N,29.61E
2006-02-01,-4.223,0.258,Chisinau,Moldova,47.42N,29.61E
2006-03-01,1.875,0.251,Chisinau,Moldova,47.42N,29.61E
2006-04-01,10.155,0.281,Chisinau,Moldova,47.42N,29.61E
2006-05-01,15.098,0.332,Chisinau,Moldova,47.42N,29.61E
2006-06-01,19.355,0.215,Chisinau,Moldova,47.42N,29.61E
2006-07-01,21.506,0.34700000000000003,Chisinau,Moldova,47.42N,29.61E
2006-08-01,21.704,0.253,Chisinau,Moldova,47.42N,29.61E
2006-09-01,17.111,0.759,Chisinau,Moldova,47.42N,29.61E
2006-10-01,10.974,0.315,Chisinau,Moldova,47.42N,29.61E
2006-11-01,5.152,0.35700000000000004,Chisinau,Moldova,47.42N,29.61E
2006-12-01,2.174,0.513,Chisinau,Moldova,47.42N,29.61E
2007-01-01,2.8560000000000008,0.231,Chisinau,Moldova,47.42N,29.61E
2007-02-01,-0.6140000000000003,0.41200000000000003,Chisinau,Moldova,47.42N,29.61E
2007-03-01,6.242999999999999,0.414,Chisinau,Moldova,47.42N,29.61E
2007-04-01,9.599,0.175,Chisinau,Moldova,47.42N,29.61E
2007-05-01,18.83,0.306,Chisinau,Moldova,47.42N,29.61E
2007-06-01,22.499000000000002,0.679,Chisinau,Moldova,47.42N,29.61E
2007-07-01,24.722,1.004,Chisinau,Moldova,47.42N,29.61E
2007-08-01,23.311999999999998,0.34600000000000003,Chisinau,Moldova,47.42N,29.61E
2007-09-01,16.198999999999998,0.496,Chisinau,Moldova,47.42N,29.61E
2007-10-01,10.66,0.233,Chisinau,Moldova,47.42N,29.61E
2007-11-01,2.509,0.413,Chisinau,Moldova,47.42N,29.61E
2007-12-01,-0.7040000000000001,0.7020000000000001,Chisinau,Moldova,47.42N,29.61E
2008-01-01,-2.52,0.408,Chisinau,Moldova,47.42N,29.61E
2008-02-01,1.0339999999999998,0.297,Chisinau,Moldova,47.42N,29.61E
2008-03-01,6.202000000000001,0.297,Chisinau,Moldova,47.42N,29.61E
2008-04-01,10.485999999999999,0.254,Chisinau,Moldova,47.42N,29.61E
2008-05-01,15.249,0.721,Chisinau,Moldova,47.42N,29.61E
2008-06-01,20.235,0.259,Chisinau,Moldova,47.42N,29.61E
2008-07-01,21.591,0.226,Chisinau,Moldova,47.42N,29.61E
2008-08-01,22.86,0.22399999999999998,Chisinau,Moldova,47.42N,29.61E
2008-09-01,15.091,0.192,Chisinau,Moldova,47.42N,29.61E
2008-10-01,11.469000000000001,0.312,Chisinau,Moldova,47.42N,29.61E
2008-11-01,4.863,0.33899999999999997,Chisinau,Moldova,47.42N,29.61E
2008-12-01,0.6709999999999999,0.324,Chisinau,Moldova,47.42N,29.61E
2009-01-01,-2.169,0.312,Chisinau,Moldova,47.42N,29.61E
2009-02-01,0.657,0.32799999999999996,Chisinau,Moldova,47.42N,29.61E
2009-03-01,3.427,0.145,Chisinau,Moldova,47.42N,29.61E
2009-04-01,10.949000000000002,0.503,Chisinau,Moldova,47.42N,29.61E
2009-05-01,15.975,0.262,Chisinau,Moldova,47.42N,29.61E
2009-06-01,21.201,0.308,Chisinau,Moldova,47.42N,29.61E
2009-07-01,23.197,0.35600000000000004,Chisinau,Moldova,47.42N,29.61E
2009-08-01,21.272,0.28,Chisinau,Moldova,47.42N,29.61E
2009-09-01,17.678,0.226,Chisinau,Moldova,47.42N,29.61E
2009-10-01,11.0,0.21899999999999997,Chisinau,Moldova,47.42N,29.61E
2009-11-01,5.845,0.518,Chisinau,Moldova,47.42N,29.61E
2009-12-01,-1.324,0.365,Chisinau,Moldova,47.42N,29.61E
2010-01-01,-5.9689999999999985,0.523,Chisinau,Moldova,47.42N,29.61E
2010-02-01,-1.6840000000000002,0.305,Chisinau,Moldova,47.42N,29.61E
2010-03-01,3.076,0.225,Chisinau,Moldova,47.42N,29.61E
2010-04-01,10.227,0.358,Chisinau,Moldova,47.42N,29.61E
2010-05-01,16.868,0.254,Chisinau,Moldova,47.42N,29.61E
2010-06-01,20.958000000000002,0.39299999999999996,Chisinau,Moldova,47.42N,29.61E
2010-07-01,23.353,0.662,Chisinau,Moldova,47.42N,29.61E
2010-08-01,24.682,0.41600000000000004,Chisinau,Moldova,47.42N,29.61E
2010-09-01,16.291999999999998,0.29100000000000004,Chisinau,Moldova,47.42N,29.61E
2010-10-01,7.196000000000001,0.23800000000000002,Chisinau,Moldova,47.42N,29.61E
2010-11-01,9.65,0.249,Chisinau,Moldova,47.42N,29.61E
2010-12-01,-2.401,0.848,Chisinau,Moldova,47.42N,29.61E
2011-01-01,-2.8229999999999995,0.23199999999999998,Chisinau,Moldova,47.42N,29.61E
2011-02-01,-4.0920000000000005,0.289,Chisinau,Moldova,47.42N,29.61E
2011-03-01,2.6069999999999998,0.33899999999999997,Chisinau,Moldova,47.42N,29.61E
2011-04-01,9.599,0.41700000000000004,Chisinau,Moldova,47.42N,29.61E
2011-05-01,16.456,0.272,Chisinau,Moldova,47.42N,29.61E
2011-06-01,20.320999999999998,0.5720000000000001,Chisinau,Moldova,47.42N,29.61E
2011-07-01,22.721,0.38299999999999995,Chisinau,Moldova,47.42N,29.61E
2011-08-01,21.124000000000002,0.616,Chisinau,Moldova,47.42N,29.61E
2011-09-01,17.945,0.20199999999999999,Chisinau,Moldova,47.42N,29.61E
2011-10-01,8.488999999999999,0.41100000000000003,Chisinau,Moldova,47.42N,29.61E
2011-11-01,2.186,0.494,Chisinau,Moldova,47.42N,29.61E
2011-12-01,2.184,0.32,Chisinau,Moldova,47.42N,29.61E
2012-01-01,-3.2299999999999995,0.36200000000000004,Chisinau,Moldova,47.42N,29.61E
2012-02-01,-8.532,0.41700000000000004,Chisinau,Moldova,47.42N,29.61E
2012-03-01,3.497,0.529,Chisinau,Moldova,47.42N,29.61E
2012-04-01,12.359000000000002,0.524,Chisinau,Moldova,47.42N,29.61E
2012-05-01,18.814,0.225,Chisinau,Moldova,47.42N,29.61E
2012-06-01,22.284000000000002,0.534,Chisinau,Moldova,47.42N,29.61E
2012-07-01,25.164,0.47200000000000003,Chisinau,Moldova,47.42N,29.61E
2012-08-01,22.655,0.408,Chisinau,Moldova,47.42N,29.61E
2012-09-01,18.396,0.244,Chisinau,Moldova,47.42N,29.61E
2012-10-01,12.407,0.235,Chisinau,Moldova,47.42N,29.61E
2012-11-01,5.781000000000001,0.47600000000000003,Chisinau,Moldova,47.42N,29.61E
2012-12-01,-3.312,0.615,Chisinau,Moldova,47.42N,29.61E
2013-01-01,-2.625,0.33,Chisinau,Moldova,47.42N,29.61E
2013-02-01,1.024,0.255,Chisinau,Moldova,47.42N,29.61E
2013-03-01,1.7719999999999998,0.615,Chisinau,Moldova,47.42N,29.61E
2013-04-01,11.49,0.588,Chisinau,Moldova,47.42N,29.61E
2013-05-01,18.967,0.19899999999999998,Chisinau,Moldova,47.42N,29.61E
2013-06-01,21.283,0.33399999999999996,Chisinau,Moldova,47.42N,29.61E
2013-07-01,21.592,0.561,Chisinau,Moldova,47.42N,29.61E
2013-08-01,22.045,0.15,Chisinau,Moldova,47.42N,29.61E
2013-09-01,,,Chisinau,Moldova,47.42N,29.61E
1820-08-01,11.116,2.8139999999999996,Chita,Russia,52.24N,112.99E
1820-09-01,5.071000000000001,1.6540000000000001,Chita,Russia,52.24N,112.99E
1820-10-01,-5.52,1.756,Chita,Russia,52.24N,112.99E
1820-11-01,-16.777,1.974,Chita,Russia,52.24N,112.99E
1820-12-01,-26.441,2.316,Chita,Russia,52.24N,112.99E
1821-01-01,-24.869,2.843,Chita,Russia,52.24N,112.99E
1821-02-01,-19.237,3.576,Chita,Russia,52.24N,112.99E
1821-03-01,-11.798,2.145,Chita,Russia,52.24N,112.99E
1821-04-01,-2.898,2.359,Chita,Russia,52.24N,112.99E
1821-05-01,5.98,1.484,Chita,Russia,52.24N,112.99E
1821-06-01,11.482999999999999,2.234,Chita,Russia,52.24N,112.99E
1821-07-01,15.118,2.1959999999999997,Chita,Russia,52.24N,112.99E
1821-08-01,13.065,1.399,Chita,Russia,52.24N,112.99E
1821-09-01,3.707,2.217,Chita,Russia,52.24N,112.99E
1821-10-01,-4.891,1.8530000000000002,Chita,Russia,52.24N,112.99E
1821-11-01,-15.02,2.8930000000000002,Chita,Russia,52.24N,112.99E
1821-12-01,-24.816,2.314,Chita,Russia,52.24N,112.99E
1822-01-01,-28.259,2.923,Chita,Russia,52.24N,112.99E
1822-02-01,-21.113000000000003,2.329,Chita,Russia,52.24N,112.99E
1822-03-01,-9.325,2.917,Chita,Russia,52.24N,112.99E
1822-04-01,-2.0380000000000003,2.455,Chita,Russia,52.24N,112.99E
1822-05-01,5.8020000000000005,1.771,Chita,Russia,52.24N,112.99E
