5.79,0.29,Chungho,Taiwan,24.92N,120.59E
1833-08-01,29.148000000000003,1.726,Churu,India,28.13N,75.45E
1833-09-01,28.166,1.578,Churu,India,28.13N,75.45E
1833-10-01,24.851,1.719,Churu,India,28.13N,75.45E
1833-11-01,20.915,1.7009999999999998,Churu,India,28.13N,75.45E
1833-12-01,15.287,2.259,Churu,India,28.13N,75.45E
1834-01-01,12.651,1.942,Churu,India,28.13N,75.45E
1834-02-01,16.998,2.287,Churu,India,28.13N,75.45E
1834-03-01,23.008000000000003,2.4219999999999997,Churu,India,28.13N,75.45E
1834-04-01,28.329,2.347,Churu,India,28.13N,75.45E
1834-05-01,33.71100000000001,1.874,Churu,India,28.13N,75.45E
1834-06-01,33.192,2.2880000000000003,Churu,India,28.13N,75.45E
1834-07-01,31.276999999999997,1.8359999999999999,Churu,India,28.13N,75.45E
1834-08-01,29.336,1.484,Churu,India,28.13N,75.45E
1834-09-01,28.439,2.128,Churu,India,28.13N,75.45E
1834-10-01,25.108,1.506,Churu,India,28.13N,75.45E
1834-11-01,20.471,2.001,Churu,India,28.13N,75.45E
1834-12-01,15.565999999999999,1.6669999999999998,Churu,India,28.13N,75.45E
1835-01-01,14.536,2.0869999999999997,Churu,India,28.13N,75.45E
1835-02-01,17.041,2.208,Churu,India,28.13N,75.45E
1835-03-01,21.611,1.92,Churu,India,28.13N,75.45E
1835-04-01,27.781999999999996,2.314,Churu,India,28.13N,75.45E
1835-05-01,31.923,1.7619999999999998,Churu,India,28.13N,75.45E
1835-06-01,32.482,1.923,Churu,India,28.13N,75.45E
1835-07-01,30.223000000000003,1.805,Churu,India,28.13N,75.45E
1835-08-01,28.292,1.4480000000000002,Churu,India,28.13N,75.45E
1835-09-01,27.023000000000003,1.564,Churu,India,28.13N,75.45E
1835-10-01,24.546,1.571,Churu,India,28.13N,75.45E
1835-11-01,18.444000000000003,1.5919999999999999,Churu,India,28.13N,75.45E
1835-12-01,13.334000000000001,1.636,Churu,India,28.13N,75.45E
1836-01-01,13.607,1.555,Churu,India,28.13N,75.45E
1836-02-01,16.54,1.899,Churu,India,28.13N,75.45E
1836-03-01,22.49,1.9180000000000001,Churu,India,28.13N,75.45E
1836-04-01,28.0,1.851,Churu,India,28.13N,75.45E
1836-05-01,32.631,2.1109999999999998,Churu,India,28.13N,75.45E
1836-06-01,33.457,1.6440000000000001,Churu,India,28.13N,75.45E
1836-07-01,31.031,1.785,Churu,India,28.13N,75.45E
1836-08-01,28.897,1.844,Churu,India,28.13N,75.45E
1836-09-01,28.055999999999997,2.106,Churu,India,28.13N,75.45E
1836-10-01,25.603,3.6210000000000004,Churu,India,28.13N,75.45E
1836-11-01,19.026,1.936,Churu,India,28.13N,75.45E
1836-12-01,15.102,2.151,Churu,India,28.13N,75.45E
1837-01-01,14.26,2.1109999999999998,Churu,India,28.13N,75.45E
1837-02-01,17.298000000000002,2.019,Churu,India,28.13N,75.45E
1837-03-01,21.478,2.319,Churu,India,28.13N,75.45E
1837-04-01,27.113000000000003,2.108,Churu,India,28.13N,75.45E
1837-05-01,31.986,2.08,Churu,India,28.13N,75.45E
1837-06-01,32.921,2.006,Churu,India,28.13N,75.45E
1837-07-01,30.991,1.6680000000000001,Churu,India,28.13N,75.45E
1837-08-01,29.279,1.386,Churu,India,28.13N,75.45E
1837-09-01,28.316999999999997,1.574,Churu,India,28.13N,75.45E
1837-10-01,24.805999999999997,2.241,Churu,India,28.13N,75.45E
1837-11-01,19.361,2.104,Churu,India,28.13N,75.45E
1837-12-01,15.095999999999998,3.045,Churu,India,28.13N,75.45E
1838-01-01,11.425999999999998,2.366,Churu,India,28.13N,75.45E
1838-02-01,15.845999999999998,1.9609999999999999,Churu,India,28.13N,75.45E
1838-03-01,21.408,2.106,Churu,India,28.13N,75.45E
1838-04-01,28.285999999999998,2.063,Churu,India,28.13N,75.45E
1838-05-01,32.230000000000004,1.94,Churu,India,28.13N,75.45E
1838-06-01,33.467,1.841,Churu,India,28.13N,75.45E
1838-07-01,31.866,2.6039999999999996,Churu,India,28.13N,75.45E
1838-08-01,29.614,2.464,Churu,India,28.13N,75.45E
1838-09-01,28.33,1.645,Churu,India,28.13N,75.45E
1838-10-01,25.533,2.7880000000000003,Churu,India,28.13N,75.45E
1838-11-01,19.74,2.267,Churu,India,28.13N,75.45E
1838-12-01,14.759,2.115,Churu,India,28.13N,75.45E
1839-01-01,14.163,1.911,Churu,India,28.13N,75.45E
1839-02-01,17.838,2.072,Churu,India,28.13N,75.45E
1839-03-01,20.563000000000002,2.235,Churu,India,28.13N,75.45E
1839-04-01,28.570999999999998,2.135,Churu,India,28.13N,75.45E
1839-05-01,32.535000000000004,1.913,Churu,India,28.13N,75.45E
1839-06-01,33.166,1.805,Churu,India,28.13N,75.45E
1839-07-01,31.658,2.516,Churu,India,28.13N,75.45E
1839-08-01,29.796,1.97,Churu,India,28.13N,75.45E
1839-09-01,27.901999999999997,1.74,Churu,India,28.13N,75.45E
1839-10-01,25.316999999999997,2.09,Churu,India,28.13N,75.45E
1839-11-01,18.618,1.926,Churu,India,28.13N,75.45E
1839-12-01,13.5,2.051,Churu,India,28.13N,75.45E
1840-01-01,14.689,1.9980000000000002,Churu,India,28.13N,75.45E
1840-02-01,16.925,2.372,Churu,India,28.13N,75.45E
1840-03-01,21.834,2.16,Churu,India,28.13N,75.45E
1840-04-01,28.619,2.234,Churu,India,28.13N,75.45E
1840-05-01,33.047000000000004,2.1630000000000003,Churu,India,28.13N,75.45E
1840-06-01,33.655,2.039,Churu,India,28.13N,75.45E
1840-07-01,32.036,1.635,Churu,India,28.13N,75.45E
1840-08-01,29.272,1.5230000000000001,Churu,India,28.13N,75.45E
1840-09-01,27.976999999999997,1.534,Churu,India,28.13N,75.45E
1840-10-01,24.791999999999998,1.8940000000000001,Churu,India,28.13N,75.45E
1840-11-01,19.07,2.861,Churu,India,28.13N,75.45E
1840-12-01,14.466,1.6369999999999998,Churu,India,28.13N,75.45E
1841-01-01,13.467,2.458,Churu,India,28.13N,75.45E
1841-02-01,16.896,1.936,Churu,India,28.13N,75.45E
1841-03-01,21.189,2.87,Churu,India,28.13N,75.45E
1841-04-01,27.426,2.0469999999999997,Churu,India,28.13N,75.45E
1841-05-01,32.681999999999995,1.8530000000000002,Churu,India,28.13N,75.45E
1841-06-01,33.482,1.705,Churu,India,28.13N,75.45E
1841-07-01,31.741,1.786,Churu,India,28.13N,75.45E
1841-08-01,29.465,1.7469999999999999,Churu,India,28.13N,75.45E
1841-09-01,28.125,1.463,Churu,India,28.13N,75.45E
1841-10-01,25.163,1.8780000000000001,Churu,India,28.13N,75.45E
1841-11-01,19.608,1.719,Churu,India,28.13N,75.45E
1841-12-01,14.5,1.814,Churu,India,28.13N,75.45E
1842-01-01,13.787,1.99,Churu,India,28.13N,75.45E
1842-02-01,17.113,2.275,Churu,India,28.13N,75.45E
1842-03-01,23.146,2.532,Churu,India,28.13N,75.45E
1842-04-01,28.873,2.059,Churu,India,28.13N,75.45E
1842-05-01,32.846000000000004,1.758,Churu,India,28.13N,75.45E
1842-06-01,33.005,1.767,Churu,India,28.13N,75.45E
1842-07-01,31.063000000000002,1.702,Churu,India,28.13N,75.45E
1842-08-01,29.228,1.646,Churu,India,28.13N,75.45E
1842-09-01,27.871,1.608,Churu,India,28.13N,75.45E
1842-10-01,25.09,1.6780000000000002,Churu,India,28.13N,75.45E
1842-11-01,19.75,1.722,Churu,India,28.13N,75.45E
1842-12-01,15.751,1.422,Churu,India,28.13N,75.45E
1843-01-01,14.513,1.9680000000000002,Churu,India,28.13N,75.45E
1843-02-01,17.945,1.8359999999999999,Churu,India,28.13N,75.45E
1843-03-01,22.131,2.035,Churu,India,28.13N,75.45E
1843-04-01,28.348000000000003,1.839,Churu,India,28.13N,75.45E
1843-05-01,32.334,1.6440000000000001,Churu,India,28.13N,75.45E
1843-06-01,33.271,1.472,Churu,India,28.13N,75.45E
1843-07-01,31.293000000000003,1.4969999999999999,Churu,India,28.13N,75.45E
1843-08-01,29.46,1.61,Churu,India,28.13N,75.45E
1843-09-01,28.191,1.254,Churu,India,28.13N,75.45E
1843-10-01,25.320999999999998,1.514,Churu,India,28.13N,75.45E
1843-11-01,19.352999999999998,1.3019999999999998,Churu,India,28.13N,75.45E
1843-12-01,14.929,2.842,Churu,India,28.13N,75.45E
1844-01-01,13.845,1.525,Churu,India,28.13N,75.45E
1844-02-01,15.706,2.169,Churu,India,28.13N,75.45E
1844-03-01,22.217,2.167,Churu,India,28.13N,75.45E
1844-04-01,28.037,1.7,Churu,India,28.13N,75.45E
1844-05-01,32.162,1.631,Churu,India,28.13N,75.45E
1844-06-01,33.174,1.4280000000000002,Churu,India,28.13N,75.45E
1844-07-01,30.93,1.5830000000000002,Churu,India,28.13N,75.45E
1844-08-01,29.359,2.378,Churu,India,28.13N,75.45E
1844-09-01,27.818,1.263,Churu,India,28.13N,75.45E
1844-10-01,25.465,1.41,Churu,India,28.13N,75.45E
1844-11-01,19.352,1.3259999999999998,Churu,India,28.13N,75.45E
1844-12-01,14.415999999999999,1.72,Churu,India,28.13N,75.45E
1845-01-01,14.415999999999999,1.819,Churu,India,28.13N,75.45E
1845-02-01,15.985,2.271,Churu,India,28.13N,75.45E
1845-03-01,22.6,1.942,Churu,India,28.13N,75.45E
1845-04-01,28.355999999999998,2.0540000000000003,Churu,India,28.13N,75.45E
1845-05-01,32.887,1.7930000000000001,Churu,India,28.13N,75.45E
1845-06-01,33.274,1.656,Churu,India,28.13N,75.45E
1845-07-01,31.553,1.615,Churu,India,28.13N,75.45E
1845-08-01,29.664,1.469,Churu,India,28.13N,75.45E
1845-09-01,28.418000000000003,1.39,Churu,India,28.13N,75.45E
1845-10-01,24.93,1.6,Churu,India,28.13N,75.45E
1845-11-01,19.592,1.581,Churu,India,28.13N,75.45E
1845-12-01,13.735999999999999,1.825,Churu,India,28.13N,75.45E
1846-01-01,15.242,2.133,Churu,India,28.13N,75.45E
1846-02-01,17.558,1.837,Churu,India,28.13N,75.45E
1846-03-01,23.815,2.325,Churu,India,28.13N,75.45E
1846-04-01,28.061999999999998,2.075,Churu,India,28.13N,75.45E
1846-05-01,33.044000000000004,1.973,Churu,India,28.13N,75.45E
1846-06-01,33.838,2.187,Churu,India,28.13N,75.45E
1846-07-01,32.16,2.142,Churu,India,28.13N,75.45E
1846-08-01,30.101,1.714,Churu,India,28.13N,75.45E
1846-09-01,28.439,1.9409999999999998,Churu,India,28.13N,75.45E
1846-10-01,24.799,1.739,Churu,India,28.13N,75.45E
1846-11-01,19.971,1.875,Churu,India,28.13N,75.45E
1846-12-01,15.425999999999998,1.642,Churu,India,28.13N,75.45E
1847-01-01,14.62,2.9739999999999998,Churu,India,28.13N,75.45E
1847-02-01,17.335,2.073,Churu,India,28.13N,75.45E
1847-03-01,21.826999999999998,2.0669999999999997,Churu,India,28.13N,75.45E
1847-04-01,28.613000000000003,1.985,Churu,India,28.13N,75.45E
1847-05-01,32.580000000000005,1.8969999999999998,Churu,India,28.13N,75.45E
1847-06-01,33.171,1.879,Churu,India,28.13N,75.45E
1847-07-01,31.504,1.893,Churu,India,28.13N,75.45E
1847-08-01,29.586,1.516,Churu,India,28.13N,75.45E
1847-09-01,28.44,1.574,Churu,India,28.13N,75.45E
1847-10-01,25.26,1.685,Churu,India,28.13N,75.45E
1847-11-01,19.957,1.7069999999999999,Churu,India,28.13N,75.45E
1847-12-01,13.34,1.601,Churu,India,28.13N,75.45E
1848-01-01,13.040999999999999,1.979,Churu,India,28.13N,75.45E
1848-02-01,17.135,1.733,Churu,India,28.13N,75.45E
1848-03-01,22.059,1.421,Churu,India,28.13N,75.45E
1848-04-01,28.162,1.5819999999999999,Churu,India,28.13N,75.45E
1848-05-01,32.391999999999996,1.723,Churu,India,28.13N,75.45E
1848-06-01,32.832,2.032,Churu,India,28.13N,75.45E
1848-07-01,31.354,1.729,Churu,India,28.13N,75.45E
1848-08-01,29.579,1.374,Churu,India,28.13N,75.45E
1848-09-01,28.116,1.579,Churu,India,28.13N,75.45E
1848-10-01,25.081,1.359,Churu,India,28.13N,75.45E
1848-11-01,19.348,1.1740000000000002,Churu,India,28.13N,75.45E
1848-12-01,14.567,1.44,Churu,India,28.13N,75.45E
1849-01-01,13.341,1.232,Churu,India,28.13N,75.45E
1849-02-01,16.355,2.241,Churu,India,28.13N,75.45E
1849-03-01,22.565,2.084,Churu,India,28.13N,75.45E
1849-04-01,28.394,2.023,Churu,India,28.13N,75.45E
1849-05-01,32.631,1.38,Churu,India,28.13N,75.45E
1849-06-01,32.873000000000005,1.71,Churu,India,28.13N,75.45E
1849-07-01,31.163,1.395,Churu,India,28.13N,75.45E
1849-08-01,29.459,1.3780000000000001,Churu,India,28.13N,75.45E
1849-09-01,28.096,1.391,Churu,India,28.13N,75.45E
1849-10-01,25.307,1.645,Churu,India,28.13N,75.45E
1849-11-01,19.948,1.396,Churu,India,28.13N,75.45E
1849-12-01,13.995,1.5290000000000001,Churu,India,28.13N,75.45E
1850-01-01,13.103000000000002,1.663,Churu,India,28.13N,75.45E
1850-02-01,16.535,2.004,Churu,India,28.13N,75.45E
1850-03-01,22.247,2.989,Churu,India,28.13N,75.45E
1850-04-01,28.096999999999998,1.587,Churu,India,28.13N,75.45E
1850-05-01,32.229,1.272,Churu,India,28.13N,75.45E
1850-06-01,33.624,1.215,Churu,India,28.13N,75.45E
1850-07-01,31.721,1.237,Churu,India,28.13N,75.45E
1850-08-01,30.017,1.348,Churu,India,28.13N,75.45E
1850-09-01,28.695,1.0290000000000001,Churu,India,28.13N,75.45E
1850-10-01,26.235,2.281,Churu,India,28.13N,75.45E
1850-11-01,20.242,2.875,Churu,India,28.13N,75.45E
1850-12-01,14.392000000000001,1.381,Churu,India,28.13N,75.45E
1851-01-01,13.264,1.4340000000000002,Churu,India,28.13N,75.45E
1851-02-01,16.494,1.5390000000000001,Churu,India,28.13N,75.45E
1851-03-01,22.308000000000003,1.9280000000000002,Churu,India,28.13N,75.45E
1851-04-01,28.031,1.526,Churu,India,28.13N,75.45E
1851-05-01,33.262,1.386,Churu,India,28.13N,75.45E
1851-06-01,33.434,1.4340000000000002,Churu,India,28.13N,75.45E
1851-07-01,31.384,1.558,Churu,India,28.13N,75.45E
1851-08-01,29.856,1.2770000000000001,Churu,India,28.13N,75.45E
1851-09-01,28.81,1.194,Churu,India,28.13N,75.45E
1851-10-01,25.877,1.73,Churu,India,28.13N,75.45E
1851-11-01,19.660999999999998,1.3219999999999998,Churu,India,28.13N,75.45E
1851-12-01,14.837,2.392,Churu,India,28.13N,75.45E
1852-01-01,14.18,2.155,Churu,India,28.13N,75.45E
1852-02-01,17.292,1.939,Churu,India,28.13N,75.45E
1852-03-01,21.388,1.98,Churu,India,28.13N,75.45E
1852-04-01,27.976999999999997,2.116,Churu,India,28.13N,75.45E
1852-05-01,32.861000000000004,1.935,Churu,India,28.13N,75.45E
1852-06-01,33.486,1.495,Churu,India,28.13N,75.45E
1852-07-01,31.515,1.696,Churu,India,28.13N,75.45E
1852-08-01,29.536,1.365,Churu,India,28.13N,75.45E
1852-09-01,28.576,1.32,Churu,India,28.13N,75.45E
1852-10-01,25.48,1.6119999999999999,Churu,India,28.13N,75.45E
1852-11-01,19.072,1.4969999999999999,Churu,India,28.13N,75.45E
1852-12-01,14.958,1.9709999999999999,Churu,India,28.13N,75.45E
1853-01-01,12.873,2.1109999999999998,Churu,India,28.13N,75.45E
1853-02-01,16.676000000000002,2.377,Churu,India,28.13N,75.45E
1853-03-01,22.561,1.814,Churu,India,28.13N,75.45E
1853-04-01,28.24,1.814,Churu,India,28.13N,75.45E
1853-05-01,33.281,1.589,Churu,India,28.13N,75.45E
1853-06-01,34.159,1.412,Churu,India,28.13N,75.45E
1853-07-01,32.16,1.455,Churu,India,28.13N,75.45E
1853-08-01,30.013,1.305,Churu,India,28.13N,75.45E
1853-09-01,28.863000000000003,1.3119999999999998,Churu,India,28.13N,75.45E
1853-10-01,25.319000000000003,1.4069999999999998,Churu,India,28.13N,75.45E
1853-11-01,19.363,1.537,Churu,India,28.13N,75.45E
1853-12-01,15.044,1.321,Churu,India,28.13N,75.45E
1854-01-01,14.105,1.865,Churu,India,28.13N,75.45E
1854-02-01,16.213,1.775,Churu,India,28.13N,75.45E
1854-03-01,22.638,1.675,Churu,India,28.13N,75.45E
1854-04-01,28.115,2.086,Churu,India,28.13N,75.45E
1854-05-01,33.355000000000004,1.922,Churu,India,28.13N,75.45E
1854-06-01,33.531,1.775,Churu,India,28.13N,75.45E
1854-07-01,31.889,1.7830000000000001,Churu,India,28.13N,75.45E
1854-08-01,30.019000000000002,1.639,Churu,India,28.13N,75.45E
1854-09-01,28.548000000000002,1.518,Churu,India,28.13N,75.45E
1854-10-01,26.401999999999997,1.7919999999999998,Churu,India,28.13N,75.45E
1854-11-01,20.219,1.671,Churu,India,28.13N,75.45E
1854-12-01,15.161,1.952,Churu,India,28.13N,75.45E
1855-01-01,14.485999999999999,1.986,Churu,India,28.13N,75.45E
1855-02-01,17.471,2.022,Churu,India,28.13N,75.45E
1855-03-01,,,Churu,India,28.13N,75.45E
1855-04-01,29.514,2.182,Churu,India,28.13N,75.45E
1855-05-01,33.735,2.001,Churu,India,28.13N,75.45E
1855-06-01,33.766999999999996,1.787,Churu,India,28.13N,75.45E
1855-07-01,31.491,1.7519999999999998,Churu,India,28.13N,75.45E
1855-08-01,29.895,1.511,Churu,India,28.13N,75.45E
1855-09-01,28.531999999999996,1.526,Churu,India,28.13N,75.45E
1855-10-01,25.294,1.7890000000000001,Churu,India,28.13N,75.45E
1855-11-01,19.624000000000002,1.6640000000000001,Churu,India,28.13N,75.45E
1855-12-01,13.970999999999998,1.992,Churu,India,28.13N,75.45E
1856-01-01,14.24,1.7590000000000001,Churu,India,28.13N,75.45E
1856-02-01,16.599,2.036,Churu,India,28.13N,75.45E
1856-03-01,22.180999999999997,2.154,Churu,India,28.13N,75.45E
1856-04-01,28.377,1.9880000000000002,Churu,India,28.13N,75.45E
1856-05-01,,,Churu,India,28.13N,75.45E
1856-06-01,33.753,1.881,Churu,India,28.13N,75.45E
1856-07-01,31.186999999999998,1.75,Churu,India,28.13N,75.45E
1856-08-01,28.868000000000002,1.8359999999999999,Churu,India,28.13N,75.45E
1856-09-01,27.984,1.73,Churu,India,28.13N,75.45E
1856-10-01,24.933000000000003,1.652,Churu,India,28.13N,75.45E
1856-11-01,19.55,1.632,Churu,India,28.13N,75.45E
1856-12-01,14.785,1.7,Churu,India,28.13N,75.45E
1857-01-01,13.39,1.8119999999999998,Churu,India,28.13N,75.45E
1857-02-01,16.335,2.0269999999999997,Churu,India,28.13N,75.45E
1857-03-01,21.963,2.025,Churu,India,28.13N,75.45E
1857-04-01,27.451,2.024,Churu,India,28.13N,75.45E
1857-05-01,32.273,1.905,Churu,India,28.13N,75.45E
1857-06-01,32.605,1.811,Churu,India,28.13N,75.45E
1857-07-01,30.917,1.7990000000000002,Churu,India,28.13N,75.45E
1857-08-01,29.345,1.597,Churu,India,28.13N,75.45E
1857-09-01,28.4,1.568,Churu,India,28.13N,75.45E
1857-10-01,24.741,1.905,Churu,India,28.13N,75.45E
1857-11-01,19.494,1.849,Churu,India,28.13N,75.45E
1857-12-01,14.857000000000001,1.692,Churu,India,28.13N,75.45E
1858-01-01,,,Churu,India,28.13N,75.45E
1858-02-01,,,Churu,India,28.13N,75.45E
1858-03-01,,,Churu,India,28.13N,75.45E
1858-04-01,,,Churu,India,28.13N,75.45E
1858-05-01,,,Churu,India,28.13N,75.45E
1858-06-01,,,Churu,India,28.13N,75.45E
1858-07-01,,,Churu,India,28.13N,75.45E
1858-08-01,,,Churu,India,28.13N,75.45E
1858-09-01,,,Churu,India,28.13N,75.45E
1858-10-01,,,Churu,India,28.13N,75.45E
1858-11-01,,,Churu,India,28.13N,75.45E
1858-12-01,,,Churu,India,28.13N,75.45E
1859-01-01,,,Churu,India,28.13N,75.45E
1859-02-01,,,Churu,India,28.13N,75.45E
1859-03-01,,,Churu,India,28.13N,75.45E
1859-04-01,,,Churu,India,28.13N,75.45E
1859-05-01,,,Churu,India,28.13N,75.45E
1859-06-01,,,Churu,India,28.13N,75.45E
1859-07-01,,,Churu,India,28.13N,75.45E
1859-08-01,,,Churu,India,28.13N,75.45E
1859-09-01,,,Churu,India,28.13N,75.45E
1859-10-01,,,Churu,India,28.13N,75.45E
1859-11-01,,,Churu,India,28.13N,75.45E
1859-12-01,,,Churu,India,28.13N,75.45E
1860-01-01,,,Churu,India,28.13N,75.45E
1860-02-01,,,Churu,India,28.13N,75.45E
1860-03-01,,,Churu,India,28.13N,75.45E
1860-04-01,,,Churu,India,28.13N,75.45E
1860-05-01,,,Churu,India,28.13N,75.45E
1860-06-01,,,Churu,India,28.13N,75.45E
1860-07-01,,,Churu,India,28.13N,75.45E
1860-08-01,,,Churu,India,28.13N,75.45E
1860-09-01,,,Churu,India,28.13N,75.45E
1860-10-01,,,Churu,India,28.13N,75.45E
1860-11-01,,,Churu,India,28.13N,75.45E
1860-12-01,,,Churu,India,28.13N,75.45E
1861-01-01,,,Churu,India,28.13N,75.45E
1861-02-01,,,Churu,India,28.13N,75.45E
1861-03-01,,,Churu,India,28.13N,75.45E
1861-04-01,,,Churu,India,28.13N,75.45E
1861-05-01,,,Churu,India,28.13N,75.45E
1861-06-01,,,Churu,India,28.13N,75.45E
1861-07-01,,,Churu,India,28.13N,75.45E
1861-08-01,,,Churu,India,28.13N,75.45E
1861-09-01,,,Churu,India,28.13N,75.45E
1861-10-01,,,Churu,India,28.13N,75.45E
1861-11-01,,,Churu,India,28.13N,75.45E
1861-12-01,,,Churu,India,28.13N,75.45E
1862-01-01,,,Churu,India,28.13N,75.45E
1862-02-01,,,Churu,India,28.13N,75.45E
1862-03-01,,,Churu,India,28.13N,75.45E
1862-04-01,,,Churu,India,28.13N,75.45E
1862-05-01,,,Churu,India,28.13N,75.45E
1862-06-01,,,Churu,India,28.13N,75.45E
1862-07-01,,,Churu,India,28.13N,75.45E
1862-08-01,,,Churu,India,28.13N,75.45E
1862-09-01,,,Churu,India,28.13N,75.45E
1862-10-01,,,Churu,India,28.13N,75.45E
1862-11-01,,,Churu,India,28.13N,75.45E
1862-12-01,,,Churu,India,28.13N,75.45E
1863-01-01,,,Churu,India,28.13N,75.45E
1863-02-01,,,Churu,India,28.13N,75.45E
1863-03-01,,,Churu,India,28.13N,75.45E
1863-04-01,,,Churu,India,28.13N,75.45E
1863-05-01,,,Churu,India,28.13N,75.45E
1863-06-01,,,Churu,India,28.13N,75.45E
1863-07-01,,,Churu,India,28.13N,75.45E
1863-08-01,,,Churu,India,28.13N,75.45E
1863-09-01,,,Churu,India,28.13N,75.45E
1863-10-01,,,Churu,India,28.13N,75.45E
1863-11-01,,,Churu,India,28.13N,75.45E
1863-12-01,,,Churu,India,28.13N,75.45E
1864-01-01,,,Churu,India,28.13N,75.45E
1864-02-01,,,Churu,India,28.13N,75.45E
1864-03-01,,,Churu,India,28.13N,75.45E
1864-04-01,,,Churu,India,28.13N,75.45E
1864-05-01,,,Churu,India,28.13N,75.45E
1864-06-01,,,Churu,India,28.13N,75.45E
1864-07-01,,,Churu,India,28.13N,75.45E
1864-08-01,,,Churu,India,28.13N,75.45E
1864-09-01,,,Churu,India,28.13N,75.45E
1864-10-01,,,Churu,India,28.13N,75.45E
1864-11-01,,,Churu,India,28.13N,75.45E
1864-12-01,,,Churu,India,28.13N,75.45E
1865-01-01,,,Churu,India,28.13N,75.45E
1865-02-01,,,Churu,India,28.13N,75.45E
1865-03-01,,,Churu,India,28.13N,75.45E
1865-04-01,,,Churu,India,28.13N,75.45E
1865-05-01,,,Churu,India,28.13N,75.45E
1865-06-01,,,Churu,India,28.13N,75.45E
1865-07-01,,,Churu,India,28.13N,75.45E
1865-08-01,,,Churu,India,28.13N,75.45E
1865-09-01,,,Churu,India,28.13N,75.45E
1865-10-01,,,Churu,India,28.13N,75.45E
1865-11-01,,,Churu,India,28.13N,75.45E
1865-12-01,,,Churu,India,28.13N,75.45E
1866-01-01,,,Churu,India,28.13N,75.45E
1866-02-01,,,Churu,India,28.13N,75.45E
1866-03-01,,,Churu,India,28.13N,75.45E
1866-04-01,,,Churu,India,28.13N,75.45E
1866-05-01,,,Churu,India,28.13N,75.45E
1866-06-01,,,Churu,India,28.13N,75.45E
1866-07-01,,,Churu,India,28.13N,75.45E
1866-08-01,,,Churu,India,28.13N,75.45E
1866-09-01,,,Churu,India,28.13N,75.45E
1866-10-01,,,Churu,India,28.13N,75.45E
1866-11-01,,,Churu,India,28.13N,75.45E
1866-12-01,,,Churu,India,28.13N,75.45E
1867-01-01,,,Churu,India,28.13N,75.45E
1867-02-01,,,Churu,India,28.13N,75.45E
1867-03-01,,,Churu,India,28.13N,75.45E
1867-04-01,,,Churu,India,28.13N,75.45E
1867-05-01,,,Churu,India,28.13N,75.45E
1867-06-01,,,Churu,India,28.13N,75.45E
1867-07-01,,,Churu,India,28.13N,75.45E
1867-08-01,,,Churu,India,28.13N,75.45E
1867-09-01,,,Churu,India,28.13N,75.45E
1867-10-01,,,Churu,India,28.13N,75.45E
1867-11-01,,,Churu,India,28.13N,75.45E
1867-12-01,,,Churu,India,28.13N,75.45E
1868-01-01,,,Churu,India,28.13N,75.45E
1868-02-01,,,Churu,India,28.13N,75.45E
1868-03-01,,,Churu,India,28.13N,75.45E
1868-04-01,,,Churu,India,28.13N,75.45E
1868-05-01,,,Churu,India,28.13N,75.45E
1868-06-01,,,Churu,India,28.13N,75.45E
1868-07-01,,,Churu,India,28.13N,75.45E
1868-08-01,,,Churu,India,28.13N,75.45E
1868-09-01,,,Churu,India,28.13N,75.45E
1868-10-01,,,Churu,India,28.13N,75.45E
1868-11-01,,,Churu,India,28.13N,75.45E
1868-12-01,,,Churu,India,28.13N,75.45E
1869-01-01,,,Churu,India,28.13N,75.45E
1869-02-01,,,Churu,India,28.13N,75.45E
1869-03-01,,,Churu,India,28.13N,75.45E
1869-04-01,,,Churu,India,28.13N,75.45E
1869-05-01,,,Churu,India,28.13N,75.45E
1869-06-01,,,Churu,India,28.13N,75.45E
1869-07-01,,,Churu,India,28.13N,75.45E
1869-08-01,,,Churu,India,28.13N,75.45E
1869-09-01,,,Churu,India,28.13N,75.45E
1869-10-01,,,Churu,India,28.13N,75.45E
1869-11-01,,,Churu,India,28.13N,75.45E
1869-12-01,,,Churu,India,28.13N,75.45E
1870-01-01,13.582,1.756,Churu,India,28.13N,75.45E
1870-02-01,16.594,2.026,Churu,India,28.13N,75.45E
1870-03-01,22.68,2.035,Churu,India,28.13N,75.45E
1870-04-01,29.031999999999996,1.9409999999999998,Churu,India,28.13N,75.45E
1870-05-01,33.83900000000001,1.865,Churu,India,28.13N,75.45E
1870-06-01,34.008,1.7590000000000001,Churu,India,28.13N,75.45E
1870-07-01,31.38,1.655,Churu,India,28.13N,75.45E
1870-08-01,29.472,1.3869999999999998,Churu,India,28.13N,75.45E
1870-09-01,29.019000000000002,1.454,Churu,India,28.13N,75.45E
1870-10-01,25.674,1.686,Churu,India,28.13N,75.45E
1870-11-01,19.802,1.8940000000000001,Churu,India,28.13N,75.45E
1870-12-01,13.863,1.546,Churu,India,28.13N,75.45E
1871-01-01,13.325,1.76,Churu,India,28.13N,75.45E
1871-02-01,16.595000000000002,2.0980000000000003,Churu,India,28.13N,75.45E
1871-03-01,22.344,2.1319999999999997,Churu,India,28.13N,75.45E
1871-04-01,28.963,1.886,Churu,India,28.13N,75.45E
1871-05-01,33.346000000000004,1.8880000000000001,Churu,India,28.13N,75.45E
1871-06-01,33.789,1.7790000000000001,Churu,India,28.13N,75.45E
1871-07-01,31.247,1.595,Churu,India,28.13N,75.45E
