03,0.217,Kasugai,Japan,34.56N,136.22E
1916-03-01,22.609,0.82,Kasur,Pakistan,31.35N,73.51E
1916-04-01,27.31,0.43799999999999994,Kasur,Pakistan,31.35N,73.51E
1916-05-01,30.458000000000002,0.434,Kasur,Pakistan,31.35N,73.51E
1916-06-01,34.018,0.387,Kasur,Pakistan,31.35N,73.51E
1916-07-01,31.86,0.991,Kasur,Pakistan,31.35N,73.51E
1916-08-01,30.378,0.81,Kasur,Pakistan,31.35N,73.51E
1916-09-01,29.629,0.32299999999999995,Kasur,Pakistan,31.35N,73.51E
1916-10-01,25.254,0.429,Kasur,Pakistan,31.35N,73.51E
1916-11-01,16.82,0.5920000000000001,Kasur,Pakistan,31.35N,73.51E
1916-12-01,12.544,0.326,Kasur,Pakistan,31.35N,73.51E
1917-01-01,12.304,0.6970000000000001,Kasur,Pakistan,31.35N,73.51E
1917-02-01,16.005,0.447,Kasur,Pakistan,31.35N,73.51E
1917-03-01,19.667,0.52,Kasur,Pakistan,31.35N,73.51E
1917-04-01,23.665,0.35600000000000004,Kasur,Pakistan,31.35N,73.51E
1917-05-01,28.999000000000002,1.597,Kasur,Pakistan,31.35N,73.51E
1917-06-01,33.451,0.9440000000000001,Kasur,Pakistan,31.35N,73.51E
1917-07-01,32.09,0.525,Kasur,Pakistan,31.35N,73.51E
1917-08-01,30.006999999999998,0.665,Kasur,Pakistan,31.35N,73.51E
1917-09-01,28.619,1.063,Kasur,Pakistan,31.35N,73.51E
1917-10-01,23.848000000000003,0.512,Kasur,Pakistan,31.35N,73.51E
1917-11-01,16.473,0.973,Kasur,Pakistan,31.35N,73.51E
1917-12-01,12.776,0.679,Kasur,Pakistan,31.35N,73.51E
1918-01-01,11.24,0.256,Kasur,Pakistan,31.35N,73.51E
1918-02-01,15.050999999999998,0.462,Kasur,Pakistan,31.35N,73.51E
1918-03-01,18.935,0.593,Kasur,Pakistan,31.35N,73.51E
1918-04-01,23.528000000000002,0.41700000000000004,Kasur,Pakistan,31.35N,73.51E
1918-05-01,34.123000000000005,0.742,Kasur,Pakistan,31.35N,73.51E
1918-06-01,33.809000000000005,0.41,Kasur,Pakistan,31.35N,73.51E
1918-07-01,33.645,0.597,Kasur,Pakistan,31.35N,73.51E
1918-08-01,32.534,0.425,Kasur,Pakistan,31.35N,73.51E
1918-09-01,29.635,0.395,Kasur,Pakistan,31.35N,73.51E
1918-10-01,24.986,0.461,Kasur,Pakistan,31.35N,73.51E
1918-11-01,18.279,0.41100000000000003,Kasur,Pakistan,31.35N,73.51E
1918-12-01,12.290999999999999,0.46299999999999997,Kasur,Pakistan,31.35N,73.51E
1919-01-01,11.765,0.5760000000000001,Kasur,Pakistan,31.35N,73.51E
1919-02-01,13.974,0.424,Kasur,Pakistan,31.35N,73.51E
1919-03-01,20.093,0.597,Kasur,Pakistan,31.35N,73.51E
1919-04-01,25.506,0.42100000000000004,Kasur,Pakistan,31.35N,73.51E
1919-05-01,31.095,0.569,Kasur,Pakistan,31.35N,73.51E
1919-06-01,36.21100000000001,0.768,Kasur,Pakistan,31.35N,73.51E
1919-07-01,32.918,0.353,Kasur,Pakistan,31.35N,73.51E
1919-08-01,30.915,0.8059999999999999,Kasur,Pakistan,31.35N,73.51E
1919-09-01,29.465,0.46299999999999997,Kasur,Pakistan,31.35N,73.51E
1919-10-01,24.779,0.321,Kasur,Pakistan,31.35N,73.51E
1919-11-01,17.616,0.701,Kasur,Pakistan,31.35N,73.51E
1919-12-01,11.956,0.7709999999999999,Kasur,Pakistan,31.35N,73.51E
1920-01-01,11.905999999999999,0.578,Kasur,Pakistan,31.35N,73.51E
1920-02-01,13.675999999999998,0.434,Kasur,Pakistan,31.35N,73.51E
1920-03-01,19.296,0.44299999999999995,Kasur,Pakistan,31.35N,73.51E
1920-04-01,24.739,0.902,Kasur,Pakistan,31.35N,73.51E
1920-05-01,28.139,0.431,Kasur,Pakistan,31.35N,73.51E
1920-06-01,32.67,0.687,Kasur,Pakistan,31.35N,73.51E
1920-07-01,33.303000000000004,1.087,Kasur,Pakistan,31.35N,73.51E
1920-08-01,31.325,0.508,Kasur,Pakistan,31.35N,73.51E
1920-09-01,31.089000000000002,0.552,Kasur,Pakistan,31.35N,73.51E
1920-10-01,26.320999999999998,0.534,Kasur,Pakistan,31.35N,73.51E
1920-11-01,19.76,0.413,Kasur,Pakistan,31.35N,73.51E
1920-12-01,13.189,0.485,Kasur,Pakistan,31.35N,73.51E
1921-01-01,12.392999999999999,0.33299999999999996,Kasur,Pakistan,31.35N,73.51E
1921-02-01,15.533,0.319,Kasur,Pakistan,31.35N,73.51E
1921-03-01,23.173,0.98,Kasur,Pakistan,31.35N,73.51E
1921-04-01,29.664,0.8009999999999999,Kasur,Pakistan,31.35N,73.51E
1921-05-01,33.757,0.626,Kasur,Pakistan,31.35N,73.51E
1921-06-01,34.424,0.602,Kasur,Pakistan,31.35N,73.51E
1921-07-01,33.446,0.298,Kasur,Pakistan,31.35N,73.51E
1921-08-01,30.730999999999998,0.657,Kasur,Pakistan,31.35N,73.51E
1921-09-01,30.234,0.594,Kasur,Pakistan,31.35N,73.51E
1921-10-01,24.595,0.292,Kasur,Pakistan,31.35N,73.51E
1921-11-01,18.741,0.363,Kasur,Pakistan,31.35N,73.51E
1921-12-01,14.269,0.653,Kasur,Pakistan,31.35N,73.51E
1922-01-01,11.562999999999999,0.769,Kasur,Pakistan,31.35N,73.51E
1922-02-01,15.345999999999998,0.552,Kasur,Pakistan,31.35N,73.51E
1922-03-01,20.930999999999997,0.401,Kasur,Pakistan,31.35N,73.51E
1922-04-01,26.689,0.7,Kasur,Pakistan,31.35N,73.51E
1922-05-01,31.059,0.469,Kasur,Pakistan,31.35N,73.51E
1922-06-01,33.649,0.33299999999999996,Kasur,Pakistan,31.35N,73.51E
1922-07-01,33.461,0.40399999999999997,Kasur,Pakistan,31.35N,73.51E
1922-08-01,31.976999999999997,0.39399999999999996,Kasur,Pakistan,31.35N,73.51E
1922-09-01,29.579,0.73,Kasur,Pakistan,31.35N,73.51E
1922-10-01,24.314,0.467,Kasur,Pakistan,31.35N,73.51E
1922-11-01,18.193,0.475,Kasur,Pakistan,31.35N,73.51E
1922-12-01,13.24,0.721,Kasur,Pakistan,31.35N,73.51E
1923-01-01,11.554,0.48700000000000004,Kasur,Pakistan,31.35N,73.51E
1923-02-01,13.841,0.536,Kasur,Pakistan,31.35N,73.51E
1923-03-01,20.414,0.304,Kasur,Pakistan,31.35N,73.51E
1923-04-01,26.951,0.49200000000000005,Kasur,Pakistan,31.35N,73.51E
1923-05-01,30.408,0.586,Kasur,Pakistan,31.35N,73.51E
1923-06-01,34.738,0.366,Kasur,Pakistan,31.35N,73.51E
1923-07-01,31.857,0.47600000000000003,Kasur,Pakistan,31.35N,73.51E
1923-08-01,30.34,0.679,Kasur,Pakistan,31.35N,73.51E
1923-09-01,29.589000000000002,0.425,Kasur,Pakistan,31.35N,73.51E
1923-10-01,24.156999999999996,0.324,Kasur,Pakistan,31.35N,73.51E
1923-11-01,17.840999999999994,0.392,Kasur,Pakistan,31.35N,73.51E
1923-12-01,12.945,0.733,Kasur,Pakistan,31.35N,73.51E
1924-01-01,11.234000000000002,0.532,Kasur,Pakistan,31.35N,73.51E
1924-02-01,14.361,0.456,Kasur,Pakistan,31.35N,73.51E
1924-03-01,21.024,0.809,Kasur,Pakistan,31.35N,73.51E
1924-04-01,26.354,0.303,Kasur,Pakistan,31.35N,73.51E
1924-05-01,27.531,0.575,Kasur,Pakistan,31.35N,73.51E
1924-06-01,34.40300000000001,0.544,Kasur,Pakistan,31.35N,73.51E
1924-07-01,33.413999999999994,0.5539999999999999,Kasur,Pakistan,31.35N,73.51E
1924-08-01,31.337,0.6809999999999999,Kasur,Pakistan,31.35N,73.51E
1924-09-01,28.49,0.34600000000000003,Kasur,Pakistan,31.35N,73.51E
1924-10-01,25.092,0.635,Kasur,Pakistan,31.35N,73.51E
1924-11-01,17.923,0.46399999999999997,Kasur,Pakistan,31.35N,73.51E
1924-12-01,13.383,0.47200000000000003,Kasur,Pakistan,31.35N,73.51E
1925-01-01,10.477,1.025,Kasur,Pakistan,31.35N,73.51E
1925-02-01,12.393999999999998,0.845,Kasur,Pakistan,31.35N,73.51E
1925-03-01,21.338,0.546,Kasur,Pakistan,31.35N,73.51E
1925-04-01,28.924,0.667,Kasur,Pakistan,31.35N,73.51E
1925-05-01,31.384,0.622,Kasur,Pakistan,31.35N,73.51E
1925-06-01,32.730000000000004,0.768,Kasur,Pakistan,31.35N,73.51E
1925-07-01,31.423000000000002,0.8340000000000001,Kasur,Pakistan,31.35N,73.51E
1925-08-01,30.768,0.452,Kasur,Pakistan,31.35N,73.51E
1925-09-01,30.129,0.35700000000000004,Kasur,Pakistan,31.35N,73.51E
1925-10-01,25.468000000000004,0.37799999999999995,Kasur,Pakistan,31.35N,73.51E
1925-11-01,17.134999999999998,0.746,Kasur,Pakistan,31.35N,73.51E
1925-12-01,12.545,0.529,Kasur,Pakistan,31.35N,73.51E
1926-01-01,12.495999999999999,0.401,Kasur,Pakistan,31.35N,73.51E
1926-02-01,16.319000000000003,0.6729999999999999,Kasur,Pakistan,31.35N,73.51E
1926-03-01,18.942999999999998,0.434,Kasur,Pakistan,31.35N,73.51E
1926-04-01,23.491,0.455,Kasur,Pakistan,31.35N,73.51E
1926-05-01,29.225,0.6559999999999999,Kasur,Pakistan,31.35N,73.51E
1926-06-01,34.238,0.498,Kasur,Pakistan,31.35N,73.51E
1926-07-01,33.239000000000004,0.33399999999999996,Kasur,Pakistan,31.35N,73.51E
1926-08-01,30.94,1.075,Kasur,Pakistan,31.35N,73.51E
1926-09-01,29.222,0.435,Kasur,Pakistan,31.35N,73.51E
1926-10-01,24.669,0.44,Kasur,Pakistan,31.35N,73.51E
1926-11-01,16.173,0.606,Kasur,Pakistan,31.35N,73.51E
1926-12-01,12.579,0.348,Kasur,Pakistan,31.35N,73.51E
1927-01-01,10.745,0.125,Kasur,Pakistan,31.35N,73.51E
1927-02-01,12.903,0.391,Kasur,Pakistan,31.35N,73.51E
1927-03-01,19.189,0.5,Kasur,Pakistan,31.35N,73.51E
1927-04-01,25.621,0.17800000000000002,Kasur,Pakistan,31.35N,73.51E
1927-05-01,30.631,0.271,Kasur,Pakistan,31.35N,73.51E
1927-06-01,33.338,0.42100000000000004,Kasur,Pakistan,31.35N,73.51E
1927-07-01,32.352999999999994,0.461,Kasur,Pakistan,31.35N,73.51E
1927-08-01,31.139,0.441,Kasur,Pakistan,31.35N,73.51E
1927-09-01,29.557,0.54,Kasur,Pakistan,31.35N,73.51E
1927-10-01,25.609,0.461,Kasur,Pakistan,31.35N,73.51E
1927-11-01,18.706,0.61,Kasur,Pakistan,31.35N,73.51E
1927-12-01,13.950999999999999,0.541,Kasur,Pakistan,31.35N,73.51E
1928-01-01,11.405999999999999,0.524,Kasur,Pakistan,31.35N,73.51E
1928-02-01,15.220999999999998,0.605,Kasur,Pakistan,31.35N,73.51E
1928-03-01,20.076,0.409,Kasur,Pakistan,31.35N,73.51E
1928-04-01,26.523000000000003,0.34,Kasur,Pakistan,31.35N,73.51E
1928-05-01,33.259,0.513,Kasur,Pakistan,31.35N,73.51E
1928-06-01,34.08600000000001,0.43799999999999994,Kasur,Pakistan,31.35N,73.51E
1928-07-01,33.017,0.318,Kasur,Pakistan,31.35N,73.51E
1928-08-01,31.945999999999998,0.37,Kasur,Pakistan,31.35N,73.51E
1928-09-01,29.382,0.218,Kasur,Pakistan,31.35N,73.51E
1928-10-01,25.822,0.46299999999999997,Kasur,Pakistan,31.35N,73.51E
1928-11-01,18.458,0.6890000000000001,Kasur,Pakistan,31.35N,73.51E
1928-12-01,12.220999999999998,0.884,Kasur,Pakistan,31.35N,73.51E
1929-01-01,11.199000000000002,0.65,Kasur,Pakistan,31.35N,73.51E
1929-02-01,13.441,0.851,Kasur,Pakistan,31.35N,73.51E
1929-03-01,22.563,0.298,Kasur,Pakistan,31.35N,73.51E
1929-04-01,27.741,0.659,Kasur,Pakistan,31.35N,73.51E
1929-05-01,32.446,0.39899999999999997,Kasur,Pakistan,31.35N,73.51E
1929-06-01,34.181999999999995,0.551,Kasur,Pakistan,31.35N,73.51E
1929-07-01,31.498,0.518,Kasur,Pakistan,31.35N,73.51E
1929-08-01,30.237,0.5720000000000001,Kasur,Pakistan,31.35N,73.51E
1929-09-01,30.331999999999997,0.377,Kasur,Pakistan,31.35N,73.51E
1929-10-01,24.651999999999997,0.272,Kasur,Pakistan,31.35N,73.51E
1929-11-01,18.67,0.41200000000000003,Kasur,Pakistan,31.35N,73.51E
1929-12-01,11.194,0.466,Kasur,Pakistan,31.35N,73.51E
1930-01-01,10.764000000000001,0.8170000000000001,Kasur,Pakistan,31.35N,73.51E
1930-02-01,14.85,0.386,Kasur,Pakistan,31.35N,73.51E
1930-03-01,20.778,0.542,Kasur,Pakistan,31.35N,73.51E
1930-04-01,25.019000000000002,0.597,Kasur,Pakistan,31.35N,73.51E
1930-05-01,31.439,0.5770000000000001,Kasur,Pakistan,31.35N,73.51E
1930-06-01,33.141999999999996,0.428,Kasur,Pakistan,31.35N,73.51E
1930-07-01,30.971,0.726,Kasur,Pakistan,31.35N,73.51E
1930-08-01,31.331999999999997,0.377,Kasur,Pakistan,31.35N,73.51E
1930-09-01,29.517,0.336,Kasur,Pakistan,31.35N,73.51E
1930-10-01,25.183000000000003,0.505,Kasur,Pakistan,31.35N,73.51E
1930-11-01,17.892,0.664,Kasur,Pakistan,31.35N,73.51E
1930-12-01,12.892000000000001,0.292,Kasur,Pakistan,31.35N,73.51E
1931-01-01,12.918,0.435,Kasur,Pakistan,31.35N,73.51E
1931-02-01,12.015,0.40299999999999997,Kasur,Pakistan,31.35N,73.51E
1931-03-01,19.675,0.48,Kasur,Pakistan,31.35N,73.51E
1931-04-01,27.785999999999998,0.292,Kasur,Pakistan,31.35N,73.51E
1931-05-01,31.212,0.35100000000000003,Kasur,Pakistan,31.35N,73.51E
1931-06-01,33.835,0.231,Kasur,Pakistan,31.35N,73.51E
1931-07-01,31.552,0.647,Kasur,Pakistan,31.35N,73.51E
1931-08-01,32.169000000000004,0.552,Kasur,Pakistan,31.35N,73.51E
1931-09-01,29.858,0.5710000000000001,Kasur,Pakistan,31.35N,73.51E
1931-10-01,25.414,0.273,Kasur,Pakistan,31.35N,73.51E
1931-11-01,18.815,0.249,Kasur,Pakistan,31.35N,73.51E
1931-12-01,13.714,0.358,Kasur,Pakistan,31.35N,73.51E
1932-01-01,13.749,0.359,Kasur,Pakistan,31.35N,73.51E
1932-02-01,14.771999999999998,0.312,Kasur,Pakistan,31.35N,73.51E
1932-03-01,20.89,0.294,Kasur,Pakistan,31.35N,73.51E
1932-04-01,27.323,0.185,Kasur,Pakistan,31.35N,73.51E
1932-05-01,30.411,0.12300000000000001,Kasur,Pakistan,31.35N,73.51E
1932-06-01,35.393,0.452,Kasur,Pakistan,31.35N,73.51E
1932-07-01,32.559999999999995,0.32299999999999995,Kasur,Pakistan,31.35N,73.51E
1932-08-01,30.947,0.214,Kasur,Pakistan,31.35N,73.51E
1932-09-01,31.014,0.159,Kasur,Pakistan,31.35N,73.51E
1932-10-01,25.195,0.21899999999999997,Kasur,Pakistan,31.35N,73.51E
1932-11-01,18.582,0.504,Kasur,Pakistan,31.35N,73.51E
1932-12-01,12.815999999999999,0.313,Kasur,Pakistan,31.35N,73.51E
1933-01-01,10.272,0.193,Kasur,Pakistan,31.35N,73.51E
1933-02-01,15.469000000000001,0.41600000000000004,Kasur,Pakistan,31.35N,73.51E
1933-03-01,19.92,0.38799999999999996,Kasur,Pakistan,31.35N,73.51E
1933-04-01,24.320999999999998,0.185,Kasur,Pakistan,31.35N,73.51E
1933-05-01,30.524,0.18899999999999997,Kasur,Pakistan,31.35N,73.51E
1933-06-01,34.655,0.28,Kasur,Pakistan,31.35N,73.51E
1933-07-01,32.773999999999994,0.157,Kasur,Pakistan,31.35N,73.51E
1933-08-01,29.331999999999997,0.5489999999999999,Kasur,Pakistan,31.35N,73.51E
1933-09-01,28.766,0.154,Kasur,Pakistan,31.35N,73.51E
1933-10-01,25.026999999999997,0.185,Kasur,Pakistan,31.35N,73.51E
1933-11-01,18.809,0.26899999999999996,Kasur,Pakistan,31.35N,73.51E
1933-12-01,14.367,0.39299999999999996,Kasur,Pakistan,31.35N,73.51E
1934-01-01,9.936,0.49700000000000005,Kasur,Pakistan,31.35N,73.51E
1934-02-01,17.134999999999998,0.431,Kasur,Pakistan,31.35N,73.51E
1934-03-01,19.426,0.249,Kasur,Pakistan,31.35N,73.51E
1934-04-01,26.211,0.14800000000000002,Kasur,Pakistan,31.35N,73.51E
1934-05-01,30.158,0.39,Kasur,Pakistan,31.35N,73.51E
1934-06-01,34.145,0.196,Kasur,Pakistan,31.35N,73.51E
1934-07-01,32.964,0.201,Kasur,Pakistan,31.35N,73.51E
1934-08-01,30.98,0.247,Kasur,Pakistan,31.35N,73.51E
1934-09-01,30.989,0.33299999999999996,Kasur,Pakistan,31.35N,73.51E
1934-10-01,24.358,0.405,Kasur,Pakistan,31.35N,73.51E
1934-11-01,18.403,0.43200000000000005,Kasur,Pakistan,31.35N,73.51E
1934-12-01,13.949000000000002,0.385,Kasur,Pakistan,31.35N,73.51E
1935-01-01,10.261,0.369,Kasur,Pakistan,31.35N,73.51E
1935-02-01,14.857000000000001,0.371,Kasur,Pakistan,31.35N,73.51E
1935-03-01,20.486,0.35100000000000003,Kasur,Pakistan,31.35N,73.51E
1935-04-01,22.752,0.28600000000000003,Kasur,Pakistan,31.35N,73.51E
1935-05-01,31.277,0.193,Kasur,Pakistan,31.35N,73.51E
1935-06-01,33.991,0.228,Kasur,Pakistan,31.35N,73.51E
1935-07-01,32.729,0.268,Kasur,Pakistan,31.35N,73.51E
1935-08-01,30.866999999999997,0.349,Kasur,Pakistan,31.35N,73.51E
1935-09-01,30.22,0.257,Kasur,Pakistan,31.35N,73.51E
1935-10-01,24.616999999999997,0.245,Kasur,Pakistan,31.35N,73.51E
1935-11-01,19.127,0.18100000000000002,Kasur,Pakistan,31.35N,73.51E
1935-12-01,13.225,0.335,Kasur,Pakistan,31.35N,73.51E
1936-01-01,10.87,0.301,Kasur,Pakistan,31.35N,73.51E
1936-02-01,15.657,0.31,Kasur,Pakistan,31.35N,73.51E
1936-03-01,18.917,0.354,Kasur,Pakistan,31.35N,73.51E
1936-04-01,25.398000000000003,0.149,Kasur,Pakistan,31.35N,73.51E
1936-05-01,34.812999999999995,0.436,Kasur,Pakistan,31.35N,73.51E
1936-06-01,33.093,0.292,Kasur,Pakistan,31.35N,73.51E
1936-07-01,32.016,0.445,Kasur,Pakistan,31.35N,73.51E
1936-08-01,31.554000000000002,0.413,Kasur,Pakistan,31.35N,73.51E
1936-09-01,30.151,0.294,Kasur,Pakistan,31.35N,73.51E
1936-10-01,25.603,0.223,Kasur,Pakistan,31.35N,73.51E
1936-11-01,18.219,0.179,Kasur,Pakistan,31.35N,73.51E
1936-12-01,12.977,0.138,Kasur,Pakistan,31.35N,73.51E
1937-01-01,11.350999999999999,0.24,Kasur,Pakistan,31.35N,73.51E
1937-02-01,14.834000000000001,0.218,Kasur,Pakistan,31.35N,73.51E
1937-03-01,18.733,0.285,Kasur,Pakistan,31.35N,73.51E
1937-04-01,24.98,0.284,Kasur,Pakistan,31.35N,73.51E
1937-05-01,32.023,0.218,Kasur,Pakistan,31.35N,73.51E
1937-06-01,35.09200000000001,0.183,Kasur,Pakistan,31.35N,73.51E
1937-07-01,31.924,0.287,Kasur,Pakistan,31.35N,73.51E
1937-08-01,32.887,0.6,Kasur,Pakistan,31.35N,73.51E
1937-09-01,30.524,0.214,Kasur,Pakistan,31.35N,73.51E
1937-10-01,24.378,0.168,Kasur,Pakistan,31.35N,73.51E
1937-11-01,18.535,0.325,Kasur,Pakistan,31.35N,73.51E
1937-12-01,12.04,0.205,Kasur,Pakistan,31.35N,73.51E
1938-01-01,11.095,0.251,Kasur,Pakistan,31.35N,73.51E
1938-02-01,13.324000000000002,0.353,Kasur,Pakistan,31.35N,73.51E
1938-03-01,20.502,0.28,Kasur,Pakistan,31.35N,73.51E
1938-04-01,27.016,0.465,Kasur,Pakistan,31.35N,73.51E
1938-05-01,34.501999999999995,0.146,Kasur,Pakistan,31.35N,73.51E
1938-06-01,32.797000000000004,0.25,Kasur,Pakistan,31.35N,73.51E
1938-07-01,33.925999999999995,0.35100000000000003,Kasur,Pakistan,31.35N,73.51E
1938-08-01,32.499,0.39799999999999996,Kasur,Pakistan,31.35N,73.51E
1938-09-01,30.828000000000003,0.237,Kasur,Pakistan,31.35N,73.51E
1938-10-01,25.482,0.342,Kasur,Pakistan,31.35N,73.51E
1938-11-01,17.567999999999998,0.18100000000000002,Kasur,Pakistan,31.35N,73.51E
1938-12-01,13.263,0.28800000000000003,Kasur,Pakistan,31.35N,73.51E
1939-01-01,12.82,0.267,Kasur,Pakistan,31.35N,73.51E
1939-02-01,14.575,0.364,Kasur,Pakistan,31.35N,73.51E
1939-03-01,17.054000000000002,0.353,Kasur,Pakistan,31.35N,73.51E
1939-04-01,23.903000000000002,0.20600000000000002,Kasur,Pakistan,31.35N,73.51E
1939-05-01,32.417,0.163,Kasur,Pakistan,31.35N,73.51E
1939-06-01,33.477000000000004,0.141,Kasur,Pakistan,31.35N,73.51E
1939-07-01,32.823,0.159,Kasur,Pakistan,31.35N,73.51E
1939-08-01,32.541,0.304,Kasur,Pakistan,31.35N,73.51E
1939-09-01,31.405,0.299,Kasur,Pakistan,31.35N,73.51E
1939-10-01,26.019,0.43700000000000006,Kasur,Pakistan,31.35N,73.51E
1939-11-01,18.842,0.16699999999999998,Kasur,Pakistan,31.35N,73.51E
1939-12-01,14.472000000000001,0.253,Kasur,Pakistan,31.35N,73.51E
1940-01-01,13.039000000000001,0.182,Kasur,Pakistan,31.35N,73.51E
1940-02-01,15.037,0.289,Kasur,Pakistan,31.35N,73.51E
1940-03-01,18.964,0.249,Kasur,Pakistan,31.35N,73.51E
1940-04-01,25.000999999999998,0.32899999999999996,Kasur,Pakistan,31.35N,73.51E
1940-05-01,32.425,0.217,Kasur,Pakistan,31.35N,73.51E
1940-06-01,34.251000000000005,0.158,Kasur,Pakistan,31.35N,73.51E
1940-07-01,33.415,0.366,Kasur,Pakistan,31.35N,73.51E
1940-08-01,30.92,0.203,Kasur,Pakistan,31.35N,73.51E
1940-09-01,29.626,0.251,Kasur,Pakistan,31.35N,73.51E
1940-10-01,25.872,0.20199999999999999,Kasur,Pakistan,31.35N,73.51E
1940-11-01,19.984,0.247,Kasur,Pakistan,31.35N,73.51E
1940-12-01,13.64,0.36,Kasur,Pakistan,31.35N,73.51E
1941-01-01,12.042,0.51,Kasur,Pakistan,31.35N,73.51E
1941-02-01,16.334,0.39799999999999996,Kasur,Pakistan,31.35N,73.51E
1941-03-01,22.487,0.26899999999999996,Kasur,Pakistan,31.35N,73.51E
1941-04-01,28.914,0.35200000000000004,Kasur,Pakistan,31.35N,73.51E
1941-05-01,33.231,0.341,Kasur,Pakistan,31.35N,73.51E
1941-06-01,33.436,0.409,Kasur,Pakistan,31.35N,73.51E
1941-07-01,32.555,0.289,Kasur,Pakistan,31.35N,73.51E
1941-08-01,32.349000000000004,0.275,Kasur,Pakistan,31.35N,73.51E
1941-09-01,29.261,0.353,Kasur,Pakistan,31.35N,73.51E
1941-10-01,27.778,0.19399999999999998,Kasur,Pakistan,31.35N,73.51E
1941-11-01,19.601,0.32899999999999996,Kasur,Pakistan,31.35N,73.51E
1941-12-01,14.517000000000001,0.23800000000000002,Kasur,Pakistan,31.35N,73.51E
1942-01-01,11.264000000000001,0.306,Kasur,Pakistan,31.35N,73.51E
1942-02-01,14.688,0.16399999999999998,Kasur,Pakistan,31.35N,73.51E
1942-03-01,21.735,0.17300000000000001,Kasur,Pakistan,31.35N,73.51E
1942-04-01,27.991,0.28,Kasur,Pakistan,31.35N,73.51E
1942-05-01,31.693,0.518,Kasur,Pakistan,31.35N,73.51E
1942-06-01,34.533,0.212,Kasur,Pakistan,31.35N,73.51E
1942-07-01,31.724,0.365,Kasur,Pakistan,31.35N,73.51E
1942-08-01,30.651,0.313,Kasur,Pakistan,31.35N,73.51E
1942-09-01,29.122,0.26,Kasur,Pakistan,31.35N,73.51E
1942-10-01,25.346999999999998,0.21600000000000003,Kasur,Pakistan,31.35N,73.51E
1942-11-01,20.488000000000003,0.303,Kasur,Pakistan,31.35N,73.51E
1942-12-01,12.833,0.242,Kasur,Pakistan,31.35N,73.51E
1943-01-01,11.288,0.429,Kasur,Pakistan,31.35N,73.51E
1943-02-01,15.431,0.23800000000000002,Kasur,Pakistan,31.35N,73.51E
1943-03-01,20.9,0.24,Kasur,Pakistan,31.35N,73.51E
1943-04-01,25.276999999999997,0.284,Kasur,Pakistan,31.35N,73.51E
1943-05-01,30.799,0.254,Kasur,Pakistan,31.35N,73.51E
1943-06-01,33.895,0.401,Kasur,Pakistan,31.35N,73.51E
1943-07-01,32.239000000000004,0.369,Kasur,Pakistan,31.35N,73.51E
1943-08-01,31.518,0.37,Kasur,Pakistan,31.35N,73.51E
1943-09-01,30.974,0.21600000000000003,Kasur,Pakistan,31.35N,73.51E
1943-10-01,25.461,0.198,Kasur,Pakistan,31.35N,73.51E
1943-11-01,19.646,0.345,Kasur,Pakistan,31.35N,73.51E
1943-12-01,15.067,0.257,Kasur,Pakistan,31.35N,73.51E
1944-01-01,11.253,0.129,Kasur,Pakistan,31.35N,73.51E
1944-02-01,13.311,0.243,Kasur,Pakistan,31.35N,73.51E
1944-03-01,19.337,0.248,Kasur,Pakistan,31.35N,73.51E
1944-04-01,25.776999999999997,0.20600000000000002,Kasur,Pakistan,31.35N,73.51E
1944-05-01,32.478,0.348,Kasur,Pakistan,31.35N,73.51E
1944-06-01,33.875,0.42200000000000004,Kasur,Pakistan,31.35N,73.51E
1944-07-01,32.139,0.342,Kasur,Pakistan,31.35N,73.51E
1944-08-01,30.397,0.336,Kasur,Pakistan,31.35N,73.51E
1944-09-01,28.722,0.34,Kasur,Pakistan,31.35N,73.51E
1944-10-01,24.374,0.409,Kasur,Pakistan,31.35N,73.51E
1944-11-01,19.019000000000002,0.22899999999999998,Kasur,Pakistan,31.35N,73.51E
1944-12-01,13.312,0.546,Kasur,Pakistan,31.35N,73.51E
1945-01-01,10.29,0.353,Kasur,Pakistan,31.35N,73.51E
1945-02-01,13.747,0.40700000000000003,Kasur,Pakistan,31.35N,73.51E
1945-03-01,20.258,0.59,Kasur,Pakistan,31.35N,73.51E
1945-04-01,24.42,0.316,Kasur,Pakistan,31.35N,73.51E
1945-05-01,31.325,0.285,Kasur,Pakistan,31.35N,73.51E
1945-06-01,34.297000000000004,0.46799999999999997,Kasur,Pakistan,31.35N,73.51E
1945-07-01,32.39,0.389,Kasur,Pakistan,31.35N,73.51E
1945-08-01,31.245,0.389,Kasur,Pakistan,31.35N,73.51E
1945-09-01,30.057,0.36,Kasur,Pakistan,31.35N,73.51E
1945-10-01,25.116999999999997,0.414,Kasur,Pakistan,31.35N,73.51E
1945-11-01,19.242,0.21600000000000003,Kasur,Pakistan,31.35N,73.51E
1945-12-01,12.823,0.188,Kasur,Pakistan,31.35N,73.51E
1946-01-01,12.815,0.687,Kasur,Pakistan,31.35N,73.51E
1946-02-01,17.055999999999994,0.306,Kasur,Pakistan,31.35N,73.51E
1946-03-01,19.805999999999997,0.31,Kasur,Pakistan,31.35N,73.51E
1946-04-01,30.07,0.297,Kasur,Pakistan,31.35N,73.51E
1946-05-01,33.187999999999995,0.293,Kasur,Pakistan,31.35N,73.51E
1946-06-01,35.044000000000004,0.21600000000000003,Kasur,Pakistan,31.35N,73.51E
