eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
1.97103E+11,1971,3,15,,0,,217,United States,1,North America,California,San Mateo,37.54703,-122.314834,1,0,,"3/15/1971: Unknown perpetrators firebombed a draft board office in San Mateo, California, United States.  There were no casualties and it is unknown if the office was damaged.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21,Government Building/Facility/Office,Draft board,"Draft board office, San Mateo California",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To protest and sabotage the draft,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,-9,4,Unknown,,,0,,,,,,,0,,,,,,,,,The San Mateo draft board was bombed three months earlier (197012180001).,"Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,Hewitt Project,-9,-9,0,-9,
1.97103E+11,1971,3,16,,0,,217,United States,1,North America,California,San Francisco,37.777125,-122.419644,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,Government (General),14,Judge/Attorney/Court,,Hall of Justice,217,United States,,,,,,,,,,,,,,,,,"Weather Underground, Weathermen",,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,0,3,Minor (likely < $1 million),0,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97103E+11,1971,3,17,,0,,217,United States,1,North America,New York,Ithaca,42.455233,-76.475847,1,0,,"3/17/1971: Unknown perpetrators set fire to a classroom used by the Air Force R.O.T.C. at Cornell University in Ithaca, New York, United States.  There were no casualties and the fire caused only minor damage.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,28,Military Recruiting Station/Academy,R.O.T.C.,Air Force R.O.T.C. classroom in Barton Hall at Cornell University,217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,To protest the R.O.T.C. program,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"Chairs, cloth, paper in a pile and lit on fire",0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Minor damage,0,,,,,,,0,,,,,,,,,"On the chalk board of the classroom, the Young Americans for Freedom, claimed responsibility for the attack.  Authorities did not take this claim seriously as the YAF was a very conservative organization and it did not have a chapter at Cornell University.","""Fire in R.O.T.C. Classroom At Cornell Called Deliberate,"" New York Times, March 18, 1971.","Richard M. Warschauer, ""Arson Is Assumed In AFR.O.T.C. Fire,"" Cornell Daily Sun, March 18, 1971.","Lester A. Sobel, ""Political Terrorism,"" Facts on File, Inc., 1975.",Hewitt Project,-9,-9,0,-9,
1.97103E+11,1971,3,18,,0,,185,Spain,8,Western Europe,Santa Cruz de Tenerife,San Andres,28.505025,-16.192648,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,,Store,185,Spain,,,,,,,,,,,,,,,,,Catalan Liberation Front (FAC),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97103E+11,1971,3,18,,0,,217,United States,1,North America,Florida,Jacksonville,30.33138,-81.655799,1,0,,"3/18/1971: Unknown perpetrators bombed an Army Recruiting office in Jacksonville, Florida, United States.  There were no casualties and it is unknown if the office was damaged.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,28,Military Recruiting Station/Academy,Army Recruiting Station,"Army Recruiting Station, Jacksonville Florida",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To protest the draft,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Bombed,0,0,0,0,0,0,-9,4,Unknown,,,0,,,,,,,0,,,,,,,,,,"Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,Hewitt Project,-9,-9,0,-9,
1.97103E+11,1971,3,19,,0,,362,West Germany (FRG),8,Western Europe,Berlin,West Berlin,52.505803,13.331741,1,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,3,Bank/Commerce,,Savings and Loan of City of W. Berlin,75,Germany,,,,,,,,,,,,,,,,,Black Cells,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,Incendiary; Molotov cocktail,,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,1,1,
1.97103E+11,1971,3,19,,0,,217,United States,1,North America,New York,New York City,40.78306,-73.971249,1,0,Manhattan,"3/19/1971: Suspected members of the Armed Revolutionary Independence Movement (MIRA) set off three incendiaries at the B. Altman Department Store in Manhattan, New York, United States.  There were no casualties and the store sustained $50 in damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,7,Retail/Grocery/Bakery,Department Store,B. Altman Department Store,217,United States,,,,,,,,,,,,,,,,,Armed Revolutionary Independence Movement (MIRA),,,,,,,1,,,0,2,2,0,,,,,,,,,,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,"There were three incendiary devices that were cigarette packs containing chemicals, batteries, and watch wires.",0,0,0,0,0,0,1,3,Minor (likely < $1 million),50,Carpet damage,0,,,,,,,0,,,,,,,,,Eduardo Cruz and Wilfredo were suspected members of MIRA.,"Juan M. Vasquez ""Bomb Goes Off in Alman's Here; Suspects Tied to 100 Other Plots,"" New York Times, March 20, 1971.","William Sater, ""Puerto Rican Terrorists: A Possible Threat to U.S. Energy Installations?,"" RAND, October 1981.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,0,1,0,1,
1.97103E+11,1971,3,21,,0,,217,United States,1,North America,Massachusetts,Medford,42.407484,-71.119023,1,0,,"3/21/1971: Unknown perpetrators threw a Molotov cocktail into the Dean's office at the Fletcher School of Law and Diplomacy at Tufts University in Medford, Massachusetts, United States.  There were no casualties but the office of the Dean and an adjoining office were destroyed and two other offices were damaged.  Total damages amounted to $75,000.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,8,Educational Institution,50,Other Personnel,Fletcher School of Law and Diplomacy at Tufts University,Dean of the Fletcher School of Law and Diplomacy,217,United States,8,Educational Institution,50,Other Personnel,,Dean Edmund A. Gullion,217,United States,,,,,,,,,Student Radicals,,,,,,To protest Tufts University's alleged association with the Central Intelligence Agency and Dean Gullion's policies towards the War in Vietnam,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail consisting of a bi-chemical mixture,0,0,0,0,0,0,1,3,Minor (likely < $1 million),75000,Office of Dean and adjoining office gutted.  Two other offices damaged.,0,,,,,,,0,,,,,,,,,"The firebomb went off at 4:41 AM.  The Fletcher School had received threats five months before the incident.  The Students for a Democratic Society had routinely protested the university's alleged association for the CIA, but denied any involvement in the firebombing.","""Blaze Destroys Offices At Tufts,"" New York Times, March 22, 1971.","""Bomb Damages Four Offices On Tufts Campus,"" Baltimore Sun, March 22, 1971.","""Firebomb Destroys Tufts Offices,"" Harvard Crimson, March 22, 1971.",Hewitt Project,-9,-9,0,-9,
1.97103E+11,1971,3,23,,0,,217,United States,1,North America,California,Mill Valley,37.906032,-122.548169,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,,,,,,,,,,,,,,,,,"Weather Underground, Weathermen",,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97103E+11,1971,3,23,,0,,217,United States,1,North America,Michigan,Detroit,42.359139,-83.066546,1,0,,"3/23/1971: Unknown perpetrators detonated two small bombs at in the Center Building at Wayne State University in Detroit, Michigan, United States.  There were no casualties but the buildings sustained around $4,000 in damages.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,Wayne State University,"Center Building, Wayne State University",217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Two small bombs,0,0,0,0,0,0,1,3,Minor (likely < $1 million),4000,Plumbing damaged in two restrooms,0,,,,,,,0,,,,,,,,,"Officially, it was estimated that the plumbing of the building sustained between $3,000-$5,000 in damages.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on D","""Buildings Bombed,"" Evening Independent, March 24, 1971.",,Hewitt Project,-9,-9,0,-9,
1.97103E+11,1971,3,23,,0,,217,United States,1,North America,California,Thousand Oaks,34.225529,-118.878911,1,0,The incident occurred California Lutheran College,"3/23/1971: Unknown perpetrators firebombed the Mountclef Bank of America branch on the campus of California Lutheran College in Thousand Oaks, California, United States.  There were no casualties but the building sustained an estimated $20,000 in damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,3,Bank/Commerce,Bank of America,"Mountclef branch of Bank of America, Thousand Oaks California",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,"Bank of America was perceived to symbolize the ""capitalist exploitation of the little man.""",0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),20000,Conference room damaged,0,,,,,,,0,,,,,,,,,"Hours before the incident, a Bank of America branch was bombed in Mill Valley California (197103230001).  The bank opened on time as only the conference room was damaged.  The word ""escape"" was discovered on a wall of the building.","""Southland: Campus Bank Opens Despite Fire Bombing,"" Los Angeles Times,, March 25, 1971.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,0,-9,
1.97103E+11,1971,3,25,,0,,98,Italy,8,Western Europe,Lombardy,Milan,45.463681,9.188171,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,Yugoslav Consulate General,235,Yugoslavia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),150,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97103E+11,1971,3,27,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.918392,32.865597,1,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,,"Vehicle, US Civilian",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,3,Minor (likely < $1 million),3000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97103E+11,1971,3,27,,0,,217,United States,1,North America,Maryland,Baltimore,39.290555,-76.609604,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,21,Utilities,,,,Baltimore Gas & Electric Control System,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.97103E+11,1971,3,28,,0,,11,Argentina,3,South America,Cordoba,Cordoba,-31.399301,-64.182129,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,10,Journalists & Media,55,Television Journalist/Staff/Facility,Television Universidad De Cordoba,,11,Argentina,,,,,,,,,,,,,,,,,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),,,,,,,0,,,0,5,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,5,Firearms,2,Automatic Weapon,,,,,,,,,Automatic firearms; Explosives,0,0,0,0,0,0,1,3,Minor (likely < $1 million),15000,,1,6,0,,,,,0,,,,,,2,Hostage(s) released by perpetrators,6,,,,,PGIS,0,0,0,0,
1.97103E+11,1971,3,30,,0,,209,Turkey,10,Middle East & North Africa,Izmir,Izmir,38.419723,27.133235,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,,US School Playground,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
1.97103E+11,1971,3,30,,0,,217,United States,1,North America,California,San Francisco,37.777125,-122.419644,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,3,Police,22,"Police Building (headquarters, station, school)",,Police Station,217,United States,,,,,,,,,,,,,,,,,Black Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97103E+11,1971,3,30,,0,,217,United States,1,North America,New York,New York City,40.712784,-74.005941,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,82,Labor Union Related,,Cuban Health Exchange,51,Cuba,,,,,,,,,,,,,,,,,Secret Cuban Government,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,1,1,
1.97103E+11,1971,3,30,,0,,160,Philippines,5,Southeast Asia,Metropolitian Manila,Manila,14.596051,120.978666,1,0,,,1,1,1,-9,,,0,1,0,4,Hijacking,,,,,6,Airports & Aircraft,42,Aircraft (not at an airport),,BAC-111,160,Philippines,,,,,,,,,,,,,,,,,Students,,,,,,,0,,,0,6,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistols,0,0,0,0,0,0,0,,,,,1,24,0,,,China,China,0,,,,,,2,Hostage(s) released by perpetrators,26,,,,,Hijacking DB,-9,-9,0,-9,
1.97103E+11,1971,3,30,,0,,217,United States,1,North America,New York,New York City,40.78306,-73.971249,1,0,Manhattan,"3/30/1971: The Jewish Defense League is suspected of planting a pipe bomb in front of a building that housed the headquarters of the Communist Party USA in Manhattan, New York, United States.  There were no casualties but the front door of the building was damaged and windows at surrounding buildings were shattered.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,84,Political Party Member/Rally,Communist Party USA,"Communist Party USA, New York Headquarters",217,United States,,,,,,,,,,,,,,,,,Jewish Defense League (JDL),,,,,,To protest the treatment of Jews by the Soviet Union,1,,,0,-99,-99,1,2,Call (post-incident),,,,,,,,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,,,,,,,,,,,,Ten inch pipe bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Door and water pipe of building damaged and windows of surrounding buildings shattered.,0,,,,,,,0,,,,,,,,,"The Associated Press received a predawn phone call from an unknown person announcing that there would be a bombing at the building.  The Jewish Defense League denied involvement in the incident.  Later in the day, the Students Activists for Soviet Jewry, a front for the JDL, demonstrated in front of the building.  The bombing coincided with the opening of the congress of the Communist Party in Moscow which was attended by delegates of the American Communist Party.","""Militants Communists Protest,"" Sarasota Journal, March 30, 1971.","""Headquarters of U.S. Red Party Bombed,"" Lundington Daily News, March 30, 1971.","Shlomo Russ, ""Zionist Hooligans: The Jewish Defense League,"" City University of New York, 1981.",Hewitt Project,0,0,0,0,
1.97103E+11,1971,3,31,,0,,217,United States,1,North America,Colorado,Denver,39.74001,-104.992259,1,0,,"3/31/1971: Unknown perpetrators firebombed a Military Recruiting Station in Denver, Colorado, United States.   There were no casualties and it is unknown if the center sustained any damages.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,28,Military Recruiting Station/Academy,Military Recruiting Station,"Military Recruiting Station, Denver Colorado",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To protest the draft,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,-9,4,Unknown,,,0,,,,,,,0,,,,,,,,,The station focused on recruiting minorities into the United States military.,"Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,Hewitt Project,-9,-9,0,-9,
1.97104E+11,1971,4,0,,0,,94,Iran,10,Middle East & North Africa,Gilan,Bandar Anzali,37.474249,49.458725,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,9,Unknown,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Iranian Navy,Officers,94,Iran,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,3,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.97104E+11,1971,4,0,,0,,94,Iran,10,Middle East & North Africa,Esfahan,Isfahan,32.65246,51.67462,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,Iranian General's car,94,Iran,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,3,Minor (likely < $1 million),3500,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.97104E+11,1971,4,0,,0,,94,Iran,10,Middle East & North Africa,Tehran,Tehran,35.78846,51.470795,1,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,3,Police,22,"Police Building (headquarters, station, school)",,Police station,94,Iran,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Automatic firearm,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.97104E+11,1971,4,1,,0,,217,United States,1,North America,California,Los Angeles,34.05349,-118.245319,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,,City Hall,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.97104E+11,1971,4,2,,0,,102,Jordan,10,Middle East & North Africa,Unknown,Unknown,,,5,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,21,Utilities,108,Oil,,ZARKA Refinery - Pipeline to,217,United States,,,,,,,,,,,,,,,,,Popular Front for the Liberation of Palestine (PFLP),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,
1.97104E+11,1971,4,2,,0,,185,Spain,8,Western Europe,Madrid,Madrid,40.416691,-3.700345,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,10,Journalists & Media,56,Other (including online news agencies),,"Telex facility, Gava Station",185,Spain,,,,,,,,,,,,,,,,,Catalan Liberation Front (FAC),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),5000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97104E+11,1971,4,2,,0,,217,United States,1,North America,California,Riverside,33.953349,-117.396156,1,0,4792 Ottawa Ave.,"4/2/1971: Police Officers Leonard A. Christiansen and Paul C. Teel were ambushed while on duty in Riverside, California, United States.  The officers, responding to a fake burglary call, were shot and killed as they got out of their car.  Police believed that the attack was carried out by three Black militants.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Riverside Police Department,Indiscriminate Riverside Police Officers,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,3,-99,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Shotguns,2,2,0,0,0,0,1,3,Minor (likely < $1 million),,Police car damaged,0,,,,,,,0,,,,,,,,,"Officer Christiansen was killed instantly, while Officer Teel survived long enough to call for help, but died on his way to the hospital.  This incident took place during racial tension in Riverside California.  Three African Americans; Civil Rights leader Gary Lawton, Nehemiah Jackson and Larrie Gardner, were tried three times for the murders, but were never convicted.","Jon R. Waltz, ""Beneath the Wheels of Justice; The Ambush Murders,"" Washington Post, November 25, 1979.","""Officer Leonard Christiansen and Officer Paul Teel,"" Riverside Police Department Safe In His Arms Memorial, 2009. <http://www.riversideca.gov/rpd/memorial/chrstn_teal.htm>.",,Hewitt Project,-9,-9,0,-9,
1.97104E+11,1971,4,3,,0,,185,Spain,8,Western Europe,Barcelona,Barcelona,41.387917,2.169919,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,,Institute of Secondary Studies,185,Spain,,,,,,,,,,,,,,,,,Catalan Liberation Front (FAC),,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97104E+11,1971,4,3,,0,,217,United States,1,North America,California,Los Angeles,34.05349,-118.245319,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.97104E+11,1971,4,3,,0,,217,United States,1,North America,Michigan,Ypsilanti,42.24088,-83.613089,1,1,Lover's Lane road between Plymouth and Ypsilanti Michigan,"4/3/1971: Dr. R. Wiley Brownlee, high school principle and promoter of racial coexistence was struck down and kidnapped by members of the Ku Klux Klan in Ypsilanti, Michigan, United States.  Dr. Brownlee was released later in the night but not before he was tarred and feathered.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,14,Private Citizens & Property,68,Named Civilian,Promoter of racial harmony,Dr. R. Wiley Brown,217,United States,,,,,,,,,,,,,,,,,Ku Klux Klan,,,,,,Intimidate people who promote racial harmony,0,,,0,5,5,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),9,Melee,22,"Hands, Feet, Fists",,,,,,,,,The shotguns were not fired.  The target was struck down either with the shotgun or by fist.,0,0,0,1,1,0,0,,,,,1,1,1,2,,,,0,,,,,,2,Hostage(s) released by perpetrators,,"The length of the kidnapping was estimated to be two hours.  In response to the attack, Dr. Brownlee jokingly stated that it made him the Blackest man in town.  Robert Miles, the leader of Michigan's KKK, and four others were indicted for the attack.  Robert Miles was convicted.  He was also convicted for incident 197108300002.","""High School Principal 'Tarred and Feathered,'"" Atlanta Daily World, April 4, 1971.","""Arrest Held Stunt,"" Washington Post, June 24, 1972.","""Klan Leader Convicted,"" Call and Post, November 17, 1973.",Hewitt Project,0,0,0,0,
